Tên cơ sở,Địa chỉ,Số phòng,Điện thoại,Cơ quan nhà nước quản lý,Email,Website,Giá,Fax
Khách sạn Sofitel Legend Metropole Hà Nội,"15 Ngô Quyền, Phường Tràng Tiền, Quận Hoàn Kiếm, Thành phố Hà Nội",364,024 3826 6919,Có,h1555@sofitel.com,www.sofitel-legend-metropole-hanoi.com,4.400.000 - 44.300.000,024 3826 6920
Radisson Đà Nẵng,"170 Võ Nguyên Giáp, Phường Phước Mỹ, Quận Sơn Trà, Thành phố Đà Nẵng",152,0236 0236 3898 666,Có,info@radissondanang.com,www.radissonhotels.com,,
Khách sạn Phoenix,"Số 92T đường Nguyễn Trãi, Phường Nguyễn Trãi, Thành phố Hà Giang, Hà Giang",150,0219 6506 666,Có,phoenixhotelhg@gmail.com,http://phoenixhotelhagiang.com,,
Khách sạn Sea Stas Hạ Long,"Thửa số 47, Lô N8-1, Khu đô thị Cái Dăm, phường Bãi Cháy, thành phố Hạ Long, Phường Hà Khánh, Thành phố Hạ Long, Quảng Ninh",354,0203 84-2033699999,Có,,,,
Đầu Rồng Resort,"Thôn Đầu Rồng, xã Cái Chiên, huyện Hải Hà, Xã Cái Chiên, Huyện Hải Hà, Quảng Ninh",52,0203 33622688,Có,,,,
Angsana Quan Lạn Hạ Long Bay Hotel & Resort,"Thôn Sơn Hào, xã Quan Lạn, huyện Vân  Đồn, tỉnh Quảng Ninh, Xã Quan Lạn, Huyện Vân Đồn, Quảng Ninh",150,'0914394225,Có,,,,
Wyndham Garden Sonasea  Vân Đồn,"Lô SR 2A khu tổ hợp du lịch nghỉ dưỡng Sonasea Vân Đồn Habor City, xã Hạ Long, huyện Vân Đồn, Xã Hạ Long, Huyện Vân Đồn, Quảng Ninh",208,0203 ''84-203-889966,Có,,,,
Danitel,"Ô 12, Lô N15-E khu C, khu đô thị mới Cái Dăm, phường Bãi Cháy, thành phố Hạ Long, Phường Bãi Cháy, Thành phố Hạ Long, Quảng Ninh",95,0203 84-2033827999,Có,,,,
Crystal Hotel,"Căn số VL3-01, LV3-03, Lô OSL-5 Khu nghỉ dưỡng Premier Village, p Bãi Cháy, t Hạ Long, Quảng Ninh   , Phường Bãi Cháy, Thành phố Hạ Long, Quảng Ninh",,84-915596888,Có,,,,
Edenam Hotel,"Số E 542 Sun Plaza Grand World, đường Hạ Long, Bãi Cháy, thành phố Hạ Long , Phường Bãi Cháy, Thành phố Hạ Long, Quảng Ninh",13,0203 84-966846999,Có,,,,
Hạ Long Star,"phường Bãi Cháy, thành phố Hạ Long, Phường Bãi Cháy, Thành phố Hạ Long, Quảng Ninh",50,0203 84-912249963,Có,,,,
Vịnh Xanh,"Tổ 4, Khu 2, phường Hồng Hà, thành phố Hạ Long, Phường Hà Khánh, Thành phố Hạ Long, Quảng Ninh",20,0203 84-936772858,Có,,,,
Hạ Long Diamond,"Số 42, đường Hậu Cần, tổ 5, khu 4, phường Bãi Cháy, thành phố Hạ Long, Phường Bãi Cháy, Thành phố Hạ Long, Quảng Ninh",54,0203 84-3850189,Có,,,,
Moon Halo Hotel,"ÔA62 A63 A64 A65  QH Cảng tàu Nam Tuần Châu, phường Tuần Châu, tp Hạ Long    , Phường Tuần Châu, Thành phố Hạ Long, Quảng Ninh",47,0203 84-984906096,Có,,,,
Mường Thanh Luxury Ha Long Residence,"Khu 2, đường Hạ Long, p.Bãi Cháy, T.p Hạ Long, Quảng Ninh, Phường Bãi Cháy, Thành phố Hạ Long, Quảng Ninh",465,0203 84-203-3738999,Có,,,,
Việt Thuận Grand Pioneer II,"Số 412, đường Quang Trung, phường Quang Trung, thành phó Uông Bí, Quảng Ninh, Phường Quang Trung, Thành phố Uông Bí, Quảng Ninh",,0203 84-032222689,Có,,,,
Khách  sạn  Sun Queen,"Tổ 1, khu 2, phường Bãi Cháy, Phường Bãi Cháy, Thành phố Hạ Long, Quảng Ninh",70,0203 '84-203-3837999,Có,,,,
Khách sạn Hoa Diên Vĩ (Iris),"224 đường 30/4, Phường Xuân Khánh, Quận Ninh Kiều, Thành phố Cần Thơ",73,0292 3686 969,Có,info@irishotelcantho.vn,www.irishotelcantho.vn,1.500.000 - 3.800.000,0292 3656 969
Khách sạn Liberty Central Saigon Riverside,"17 Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",170,028 3827 1717,Có,frontdesk.lcr@libertyhotels.com.vn,www.libertycentralsaigonriverside.com,,
Khách sạn nghỉ dưỡng Victoria Phan Thiết,"Km 9, Phường Phú Hài, Thành phố Phan Thiết, Bình Thuận",57,0252 3813 000,Có,online.sales@tmgroup.vn,https://www.victoriahotels.asia/vi/hotels-resorts/phanthiet,5.700.000 - 22.200.000,0252 3813 007
Khách sạn nghỉ dưỡng Avani Quy Nhơn,"Khu vực Bãi Dài, Phường Ghềnh Ráng, Thành phố Qui Nhơn, Bình Định",63,0256 3840 077,Có,quynhon.villas@anantara.com,https://www.anantara.com/vi/quy-nhon,3.460.000 - 4.700.000,0256 3840138
Khách sạn Vinpearl Luxury Landmark 81,"720A Điện Biên Phủ, Phường 22, Quận Bình Thạnh, Thành phố Hồ Chí Minh",233,028 3971 8888,Có,res.VPLLM81@vinpearl.com,https://www.vinpearl.com/vi/hotels/vinpearl-luxury-landmark-81,,
Emeralda Resort Tam Cốc,"thôn Văn Lâm, Xã Ninh Hải, Huyện Hoa Lư, Ninh Bình",86,"0229 3626 688, 098 887 18 68",Có,info@emeraldatamcoc.com,emeraldatamcoc.com,,
Khách sạn nghỉ dưỡng Lăng Cô Bay Retreat,"495A Đ. Lạc Long Quân, Thị trấn Lăng Cô, Huyện Phú Lộc, Thừa Thiên Huế",109,0888 75 79 68,Có,info@langcobayretreat.com,langcobayretreat.com,,
Khách sạn nghỉ dưỡng Lăng Cô Bay Retreat,"495A Đ. Lạc Long Quân, Thị trấn Lăng Cô, Huyện Phú Lộc, Thừa Thiên Huế",109,0888 75 79 68,Có,info@langcobayretreat.com,langcobayretreat.com,,
Khách sạn Anya Premier Quy Nhơn,"44 An Dương Vương, Phường Nguyễn Văn Cừ, Thành phố Qui Nhơn, Bình Định",256,093 572 72 36,Có,info@anyapremierhotelquynhon.com,anyahotel.com,,
Rex An Nhơn,"2 Cần Vương, Phường Bình Định, Thị xã An Nhơn, Bình Định",90,0256 3835 188,Có,rexhotelannhon@gmail.com,,,
Rex An Nhơn,"2 Cần Vương, Phường Bình Định, Thị xã An Nhơn, Bình Định",90,0256 3835 188,Có,rexhotelannhon@gmail.com,,,
Khách sạn Peninsula,"84 đường Võ Nguyên Giáp, Phường Mân Thái, Quận Sơn Trà, Thành phố Đà Nẵng",263,0236 3816 666,Có,info@peninsulahotel.vn,peninsulahotel.vn,,
Khách sạn Peninsula,"84 đường Võ Nguyên Giáp, Phường Mân Thái, Quận Sơn Trà, Thành phố Đà Nẵng",263,0236 3816 666,Có,info@peninsulahotel.vn,peninsulahotel.vn,,
Khách sạn Bay Capital Đà Nẵng,"17 Quang Trung, Phường Hải Châu  I, Quận Hải Châu, Thành phố Đà Nẵng",283,0236 7307 999,Có,,baycapitaldanang.com,,
Khách sạn Bay Capital Đà Nẵng,"17 Quang Trung, Phường Hải Châu  I, Quận Hải Châu, Thành phố Đà Nẵng",283,0236 7307 999,Có,,baycapitaldanang.com,,
Khách sạn Golden Lotus Luxury,"198B Trần Bạch Đằng, Phường Mỹ AN, Quận Ngũ Hành Sơn, Đà Nẵng., Da Nang, Vietnam, Thành phố Đà Nẵng",93,0236 3727 999,Có,info@goldenlotushotel.vn,https://luxury.goldenlotushotel.vn/,,
Khách sạn Golden Lotus Luxury,"198B Trần Bạch Đằng, Phường Mỹ AN, Quận Ngũ Hành Sơn, Đà Nẵng., Da Nang, Vietnam, Thành phố Đà Nẵng",93,0236 3727 999,Có,info@goldenlotushotel.vn,https://luxury.goldenlotushotel.vn/,,
Khách sạn Golden Lotus Luxury,"198B Trần Bạch Đằng, Phường Mỹ An, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",93,0236 3727 999,Có,info@goldenlotushotel.vn,https://luxury.goldenlotushotel.vn/,,
Khách sạn Golden Lotus Luxury,"198B Trần Bạch Đằng, Phường Mỹ AN, Quận Ngũ Hành Sơn, Đà Nẵng., Da Nang, Vietnam, Thành phố Đà Nẵng",93,0236 3727 999,Có,info@goldenlotushotel.vn,https://luxury.goldenlotushotel.vn/,,
Khách sạn Ramana Sài Gòn,"323 Lê Văn Sĩ, Phường 13, Quận 3, Thành phố Hồ Chí Minh",298,028 3843 9999,Có,reservation@ramanasaigon.com,www.ramanasaigon.com,2.390.000 - 6.900.000,028 3843 8888
Hilton Garden Inn Đà Nẵng,"96 đường Võ Nguyên Giáp, Phường Mân Thái, Quận Sơn Trà, Thành phố Đà Nẵng",238,0236 3780 000,Có,DADDA_RES@hilton.com,www.hilton.com,,
Hilton Garden Inn Đà Nẵng,"96 đường Võ Nguyên Giáp, Phường Mân Thái, Quận Sơn Trà, Thành phố Đà Nẵng",238,0236 3780 000,Có,DADDA_RES@hilton.com,www.hilton.com,,
Khách sạn nghỉ dưỡng Phú Hải,"Km8, Nguyễn Đình Chiểu, Phường Phú Hài, Thành phố Phan Thiết, Bình Thuận",84,0252 3812 799,Có,info@phuhairesort.com,www.phuhairesort.com,2.620.000 - 7.190.000,0252 3812 797
Khách sạn nghỉ dưỡng Azerai La Residence,"05 Lê Lợi, Phường Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế",122,0234 3837 475,Có,reservations.laresidence.hue@azerai.com,https://azerai.com/vi/resorts/azerai-la-residence-hue/,6.600.000 - 17.200.000,
Khách sạn JW Mariott Hà Nội,"08 Đỗ Đức Dục, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội",450,024 3833 5588,Có,mhrs.hanjw.reservation@marriott.com - trang.mai1@marriott.com,www.marriott.com/hotels/travel/hanjw-jw-marriott-hotel-hanoi,4.000.000 - 150.000.000,024 3833 5599
Khách sạn Pullman Vũng Tàu,"15 Thi Sách, Phường Thắng Tam, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",356,0254 3551 777,Có,h7133@accor.com,www.pullmanvungtau.com,,0254 3551 799
Khách sạn Mường Thanh Grand Cửa Lò,"232 đường Bình Minh, Phường Nghi Thu, Thị xã Cửa Lò, Nghệ An",249,0238 3948 666,Có,info@cualo.muongthanh.vn,www.grandcualo.muongthanh.com,1.600.000 - 11.500.000,0238 3957 567
Khách sạn nghỉ dưỡng Laguna Lăng Cô,"Thôn Cù Dù, Xã Lộc Vĩnh, Huyện Phú Lộc, Thừa Thiên Huế",378,0234 3695 800/ 3695 888,Có,sales@lagunalangco.com,www.lagunalangco.com,8.000.000 - 30.000.000,0234 3695 891
Khách sạn Indochine Palace,"105A Hùng Vương, Phường Phú Hội, Thành phố Huế, Thừa Thiên Huế",222,0234 3936 666,Có,info@indochinepalace.com,www.indochinepalace.com,6.000.000 - 57.000.000,0234 3936 555
Căn hộ du lịch Sila Urban Living,"21 Đường Ngô Thời Nhiệm, Phường 06, Quận 3, Thành phố Hồ Chí Minh",217,028 3930 0800,Có,info@silaliving.com,https://silaliving.com,,028 39 0 0830
Khách sạn Silk Path Hà Nội,"195-199 Hàng Bông, Phường Hàng Bông, Quận Hoàn Kiếm, Thành phố Hà Nội",106,024 3266 5555,Có,reservation@silkpathhotel.com,www.silkpathhotel.com,3.900.000 - 21.000.000,024 3938 1288
Khách sạn La Vela Huế,"Lô 17, đường số 22, khu đô thị Đông Nam Thủy An, Phường Thủy Dương, Thị xã Hương Thủy, Thừa Thiên Huế",199,0234 3768 888,Có,info@lavelahuehotel.com,http://lavelahuehotel.com,,
Khách sạn Mường Thanh Grand Quảng Trị,"68 Lê Duẩn, Phường 2, Thành phố Đông Hà, Quảng Trị",175,0233 3898 888,Có,info@quangtri.muongthanh.vn,www.grandquangtri.muongthanh.com,1.680.000 - 20.000.000,0233 3576 888
Khách sạn Hà Nội,"D8 Giảng Võ, Phường Giảng Võ, Quận Ba Đình, Thành phố Hà Nội",218,024 3845 2270,Có,mail@hanoihotel.com.vn,www.hanoihotel.com.vn,,024 3845 9209
Khách sạn nghỉ dưỡng Romana,"Km 8, Kp5, Phường Phú Hài, Thành phố Phan Thiết, Bình Thuận",104,0252 3741 289/ 3741 336,Có,info@romanaresort.com.vn,www.romanaresort.com.vn,2.600.000 - 9.200.000,0252 3741 281
Khách sạn Best Western Premier Marvella Nha Trang,"102B Trần Phú,, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",335,0258 7306 666,Có,info@bwpremiermarvella.com,https://www.bwpremiermarvella.com,,
Khách sạn nghỉ dưỡng TTC Vân Phong Bay,"Đông Cát, Phường Ninh Hải, Thị xã Ninh Hòa, Khánh Hòa",199,0258 3534 567,Có,reservation@ttcvanphongbay.vn,https://www.facebook.com/ttcvanphongbayresort,,
Khách sạn Queen Ann,"100 Trần Phú, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",276,0258 3597 888,Có,info@queenannnhatrang.com,https://www.queenannnhatrang.com,,0258 3599 777
Khách sạn nghỉ dưỡng Palm Garden,"Đường Lạc Long Quân, Phường Cẩm An, Thành phố Hội An, Quảng Nam",200,0235 3927 927,Có,info@pgr.com.vn,http://palmgardenresort.com.vn,,0235 3927 928
Khách sạn Sheraton Hà Nội,"K5 Nghi Tàm, 11 Xuân Diệu, Phường Quảng An, Quận Tây Hồ, Thành phố Hà Nội",299,024 3719 9000,Có,reservations.01484@marriott.com,https://vn.sheratonhanoi.com,4.230.000 - 41.500.000,024 3719 9001
Khách sạn nghỉ dưỡng Aroma Beach Resort & Spa,"Khu phố 5, Phường Phú Hài, Thành phố Phan Thiết, Bình Thuận",84,0252 3828 288,Có,reservation@aromabeachresort.com,https://aromabeachresort.com,,
Khách sạn nghỉ dưỡng The Cliff Resort & Residences,"Khu phố 5, Phường Phú Hài, Thành phố Phan Thiết, Bình Thuận",128,0252 3719  111,Có,reservation@thecliffresort.com.vn,https://www.thecliffresort.com.vn,,0252 3719 333
Khách sạn nghỉ dưỡng Lady Hill Sa Pa,"Đường Nguyễn Chí Thanh, Tổ 4, Phường Phan Si Păng, Thị xã Sa Pa, Lào Cai",174,0214 3783 888,Có,reservation@ladyhillsaparesort.com,https://ladyhillsaparesort.com,,
Khách sạn Meliá Hà Nội,"44B Lý Thường Kiệt, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Thành phố Hà Nội",306,024 9343 343,Có,rsvn@meliahanoi.com.vn,https://www.melia.com/vi/hotels/vietnam/hanoi/melia-hanoi,6.000.000 - 76.000.000,024 3934 3344
Khách sạn Mövenpick Living West Hà Nội,"21 Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội",196,024 3825 5255,Có,hc265@accor.com,https://all.accor.com/hotel/C265/index.en.shtml,,
Khách sạn Four Points by Sheraton Lạng Sơn,"02 Trần Hưng Đạo, Phường Chi Lăng, Thành phố Lạng Sơn, Lạng Sơn",127,0205 3782 999,Có,fp.hanlp.reservations@fourpoints.com,fourpointslangson.com,,
Khách sạn Dragon Sea,"43 Hồ Xuân Hương, Phường Trường Sơn, Thành phố Sầm Sơn, Thanh Hóa",100,0237 3826 666,Có,info@dragonseahotel.vn,https://www.dragonseahotel.vn,,0237 3822 678
Khách sạn Golden Lotus Grand,"86 Lê Quang Đạo, Phường Mỹ An, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",90,"0236 3846 666, 097 200 54 39",Có,info@goldenlotushotel.vn,https://grand.goldenlotushotel.vn,,
Khách sạn nghỉ dưỡng Bellerive Hội An,"33 Lê Đại Hành, Phường Cửa Đại, Thành phố Hội An, Quảng Nam",178,0235 3928 888,Có,sm@bellerivehoian.com,https://bellerivehoian.com,,
Khách sạn  Palace Vũng Tàu,"01 Nguyễn Trãi, Phường 1, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",189,0254 3856 411,Có,info@palacehotel.com.vn,https://brghospitality.vn/palace,1.900.000 - 5.300.000,0254 3856 878
Khách sạn nghỉ dưỡng Intercontinental Danang Sun Peninsula,"Bán đảo Sơn Trà, Phường Thọ Quang, Quận Sơn Trà, Thành phố Đà Nẵng",197,0236 3938 888,Có,reservations.icdanang@ihg.com,https://www.danang.intercontinental.com,,0236 9398 887
Khách sạn Sam Quảng Bình,"118A Hữu Nghị, Phường Nam Lý, Thành Phố Đồng Hới, Quảng Bình",153,0232 6273 333,Có,sales@samquangbinhhotel.com,https://samquangbinhhotel.com,,
Khách sạn Sakura,"133 Lê Thánh Tông, Phường Tân Thịnh, Thành phố Hòa Bình, Hoà Bình",91,094 112 35 36,Có,khachsanhoadaohoabinh@gmail.com,http://sakurahotel.vn,,
Khách sạn Aurora Plaza,"253 Phạm Văn Thuận, Phường Tân Mai, Thành phố Biên Hòa, Đồng Nai",132,0251 3918 888,Có,sales@aurorahotelplaza.com,http://aurorahotelplaza.com,,
Khách sạn nghỉ dưỡng Oakwood Hạ Long,"Số 9 đường Hạ Long, Phường Bãi Cháy, Thành phố Hạ Long, Quảng Ninh",273,0203  2239 999,Có,enquiry.halong@oakwood.com,https://www.discoverasr.com/en/oakwood/vietnam/oakwood-ha-long,,
Khách sạn Mường Thanh Luxury Sông Hàn,"115 Nguyễn Văn Linh, quận Hải Châu, Phường Nam Dương, Quận Hải Châu, Thành phố Đà Nẵng",201,0236 2223 344,Có,info@songhan.muongthanh.vn,http://luxurysonghan.muongthanh.com,,0236 2223 355
Khách sạn  Meliá Vinpearl Quảng Bình,"Đường Quách Xuân Kỳ, Phường Đồng Hải, Thành Phố Đồng Hới, Quảng Bình",127,0232 3900 888,Có,mvqb.info@melia.com,https://www.melia.com/vi/hotels/vietnam/quang-binh/melia-vinpearl-quang-binh,,0232 3900 666
Căn hộ du lịch Vinpearl Condotel BeachFront Nha Trang,"78-80 Trần Phú, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",895,0258 3599 099,Có,res.VPCOBFNT@vinpearl.com,https://www.vinpearl.com/vi/hotels/vinpearl-condotel-beachfront-nha-trang,,0258 3595 999
Khách sạn Meliá Vinpearl Thanh Hóa,"27 Trần Phú, Phường Điện Biên, Thành phố Thanh Hóa, Thanh Hóa",295,0237 8936 888,Có,mvth.info@melia.com,https://www.melia.com/vi/hotels/vietnam/thanh-hoa/melia-vinpearl-thanh-hoa,,
Khách sạn nghỉ dưỡng Meliá Ba Vì Mountain Retreat,"Khu Du lịch sinh thái độ cao Cote 600, Vườn quốc gia Ba Vì, Xã Tản Lĩnh, Huyện Ba Vì, Thành phố Hà Nội",61,024 3200 9999,Có,info@meliabavimountain.com,https://www.melia.com/en/hotels/vietnam/hanoi/melia-ba-vi-mountain-retreat,,
Khách sạn Apricot,"136 Hàng Trống, Phường Hàng Trống, Quận Hoàn Kiếm, Thành phố Hà Nội",123,024 3828 9595,Có,reservation@apricothotels.com,www.apricothotels.com,6.000.000 - 14.000.000,024 3828 6565
Khách sạn nghỉ dưỡng Vĩnh Hưng Riverside,"111 Ngô Quyền, Phường Minh An, Thành phố Hội An, Quảng Nam",89,0235 3910 393/  3910 577,Có,reservation@vinhhunghotels.com.vn,https://www.vinhhungresort.com,1.500.000 - 3.000.000,0235 3864 094
Khách sạn nghỉ dưỡng Phương Nam,"15/12 đường Vĩnh Phú 21, QL13, Khu phố Trung, Phường Vĩnh Phú, Thành phố Thuận An, Bình Dương",77,"0274 3785 777/ 3785 888, 093 814 65 86",Có,info@phuongnamresort.com,www.phuongnamresort.com,,0274 3757 348
Khách sạn nghỉ dưỡng Sao Biển,"22 Nguyễn Đình Chiểu, Phường Hàm Tiến, Thành phố Phan Thiết, Bình Thuận",180,0252 3847 736,Có,reservation@oceanstarresort.com,www.oceanstarresort.com,,0252 3847 740
Khách sạn Vinpearl Tây Ninh,"90 Lê Duẩn, Phường 3, Thành phố Tây Ninh, Tây Ninh",127,0276 3728 888,Có,callcenter@vinpearl.com,https://vinpearlresortvietnam.com/vinpearl-hotel-tay-ninh,,
Khách sạn nghỉ dưỡng Phú Thịnh Boutique,"488 Cửa Đại, Phường Cẩm Châu, Thành phố Hội An, Quảng Nam",91,0235 3923 923,Có,info@phuthinhhotels.com,http://phuthinhhotels.com,,0235 3923 259
Khách sạn Allegro Hội An,"86 Trần Hưng Đạo, Phường Cẩm Phô, Thành phố Hội An, Quảng Nam",94,0235 3529 999,Có,info@littlehoiangroup.com,https://www.littlehoiangroup.com,,
Khách sạn nghỉ dưỡng Rosa Alba,"88 Lê Duẩn, Phường 9, Thành phố Tuy Hoà, Phú Yên",101,0257 2222 222,Có,res@rosaalbaresort.com,www.rosaalbaresort.com,,
Khách sạn nghỉ dưỡng Dalat Wonder,"19 Hoa Hồng, Hồ Tuyền Lâm, Phường 4, Thành phố Đà Lạt, Lâm Đồng",216,0263 3800 099/ 3800 088,Có,info@dalatwonderresort.com,http://dalatwonderresort.com,,
Khách sạn nghỉ dưỡng Cereja Đà Lạt,"Khu phân khu chức năng VII.7, Khu du lịch Hồ Tuyền Lâm, Phường 3, Thành phố Đà Lạt, Lâm Đồng",135,098 104 19 77,Có,info@cerejahotel-resort.vn,https://cerejahotel-resort.vn,,
Khách sạn Golf Valley Đà Lạt,"94 Bùi Thị Xuân, Phường 2, Thành phố Đà Lạt, Lâm Đồng",164,"0263 3697 666, 088 929 66 55",Có,info@golfvalleyhotel.com,www.golfvalleyhotel.com,,
Khách sạn LaDalat,"106A Mai Anh Đào, Phường 8, Thành phố Đà Lạt, Lâm Đồng",296,"0263 3565 252, 086 985 98 59",Có,info@ladalathotel.com.vn,https://ladalathotel.com.vn,,
Khách sạn Tân Bình,"4 Lê Văn Hưu, Phường Đồng Hải, Thành Phố Đồng Hới, Quảng Bình",124,0232 3812 888,Có,sales@tanbinhhotel.com.vn,www.tanbinhhotel.com,500.000 - 1.800.000,0232 3812 333
Khách sạn Dic Star Vĩnh Phúc,"KĐT Nam Vĩnh Yên, Phường Khai Quang, Thành phố Vĩnh Yên, Vĩnh Phúc",265,0211 3555 888,Có,info@vinhphuc.dicstar.vn,https://vinhphuc.dicstar.com/,,
Khách sạn Grand Phoenix,"25 Lý Thái Tổ (Ngã Sáu), Phường Đại Phúc, Thành phố Bắc Ninh, Bắc Ninh",208,0222 3818 999,Có,info@grandphoenixhotel.com,www.grandphoenixhotel.com.vn,,
Khách sạn Thanh Lịch Royal Boutique,"33 Hai Bà Trưng, Phường Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế",105,0234 3825 973/  3825 974/  3825 975,Có,info@eleganthotel.com.vn,http://thanhlichhotel.com.vn,,0234 3825 972
Anya Quy Nhơn,"Số 03 Nguyễn Trung Tín, Phường Nguyễn Văn Cừ, Thành phố Qui Nhơn, Bình Định",229,0256 2220 779,Có,info@anyahotel.com,https://anyahotel.com,,
Khách sạn Mường Thanh Luxury Hạ Long Centre,"Khu 2, đường Hạ Long, Phường Bãi Cháy, Thành phố Hạ Long, Quảng Ninh",328,0203 3738 999,Có,info@luxuryhalong.muongthanh.vn,https://luxuryhalong.muongthanh.com,,
Khách sạn Hương Việt,"102 đường Xuân Diệu, Phường Trần Phú, Thành phố Qui Nhơn, Bình Định",111,0256 6253 333,Có,sale@huongviethotel.vn,http://huongviethotel.vn,,0256  2220 479
