Tên cơ sở,Địa chỉ,Điện thoại,Email,Website,Fax
Trung tâm thương mại Thi Phổ Center,"Thôn Phước Thịnh, Xã Đức Thạnh, Huyện Mộ Đức, Quảng Ngãi",0255 0255 3938 939,thiphocenter@gmail.com,https://thiphocenter.com/,
Đặc sản hải sản Lý Sơn Quảng Ngãi (Công ty TNHH MTV HT Sea Tour),"Thôn Tây, An Vĩnh, Huyện Lý Sơn, Quảng Ngãi",0255 0985 324 907/ 0906 414 177,sonlyson@gmail.com,https://haisanlyson.com.vn/,
Siêu thị đặc sản Lý Sơn Xanh,"Thôn Tây, Huyện Lý Sơn, Quảng Ngãi",0255 0936 780 000,,,
Mộc Kim Bồng,"Thôn Trung Hà, Xã Cẩm Kim, Thành phố Hội An, Quảng Nam",0235 02353 934 282,,,
Cửa hàng hải sản khô Mận Khoa,"58 Vũ Bảo, Phường Ngô Mây, Thành phố Qui Nhơn, Bình Định",0256 0971 156 877,quabinhdinh.vn@gmail.com,https://quabinhdinh.vn/,
Đặc sản Bình Định Như Ý,"156 Nguyễn Huệ, Phường Trần Phú, Thành phố Qui Nhơn, Bình Định",0256 0256 3828 379,,,
Siêu thị đặc sản Phương Nghi,"115 - 117 - 119 Tây Sơn, Phường Ghềnh Ráng, Thành phố Qui Nhơn, Bình Định",0256 0256 3891 122/091 950 78 39,,,
"Cơ sở bánh gai, bánh gấc Tuyết Nga","Số 57, khu 2, Thị trấn Ninh Giang, Huyện Ninh Giang, Hải Dương",0220 3767 282,,,
Khu mua sắm Hoàng Gia,"Trần Hưng Đạo, Phường 5, Thành phố Cà Mau, Cà Mau",,,,
Khu thương mại Cửu Long Plaza Cà Mau,"Quản Lộ - Phụng Hiệp, Xã Tân Thành, Thành phố Cà Mau, Cà Mau",0290 3575 224,,,
Khu kinh tế đêm Phú Thiên Kim,", Xã Tiến Hưng, Thị xã Đồng Xoài, Bình Phước",0271 0962 860 475,,,
Siêu thị chợ đêm Phước Bình,", Phường Phước Bình, Thị xã Phước Long, Bình Phước",0271 0944 422 707,,,
Siêu Thị Vinatex Bình Phước,"1029 Phú Riềng Đỏ, Phường Tân Bình, Thị xã Đồng Xoài, Bình Phước",0271 0983 037 803,,,
Siêu thị Coop Mart Tháp Mười,"Vòng xoay Ngã tư Mỹ An, đường Hùng Vương, Thị trấn Mỹ An, Huyện Tháp Mười, Đồng Tháp",0277 3663 399,,,
Chợ Đêm Cà Mau,"An Dương Vương, Phường 7, Thành phố Cà Mau, Cà Mau",,,,
Cửa hàng Quà Đồng Tháp,"35 Trần Phú, Phường 1, Thành phố Cao Lãnh, Đồng Tháp",0277 098 988 17 23,,,
Làng nghề nem Lai Vung,", Xã Tân Thành, Huyện Lai Vung, Đồng Tháp",,,,
Trung tâm thương mại Vincom Plaza Lê Thánh Tôn - Nha Trang,"44-46 Lê Thánh Tôn, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",0258 01213841987,,https://vincom.com.vn/vi/tttm/vincom-plaza-le-thanh-ton-nha-trang,
Trung tâm thương mại Vincom Plaza Cam Ranh,"2067 Đại lộ Hùng Vương, Phường Cam Thuận, Thành phố Cam Ranh, Khánh Hòa",0258 086 957 0567,,https://vincom.com.vn/vi/tttm/vincom-cam-ranh-khanh-hoa,
Trung tâm Thương mại Vincom Plaza Thái Nguyên - Nha Trang,"60 Thái Nguyên, Phường Phương Sài, Thành phố Nha Trang, Khánh Hòa",0258 090 515 96 90,,https://vincom.com.vn/vi/tttm/vincom-plaza-thai-nguyen-nha-trang,
Cửa hàng - Công ty TNHH MTV ATC - Trầm hương Khánh Hòa,"5C Lý Tự Trọng, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",0258 0905638388 - 02583528979,act@tramhuongkhanhhoa.com.vn/atctramhuongkhanhhoa@gmail.com,https://tramhuongkhanhhoa.com.vn/,
Trung tâm thương mại Lotte Mart Nha Trang,"58 đường 23/10, Phường Phương Sơn, Thành phố Nha Trang, Khánh Hòa",0258 3812 522,info@lotte.vn,http://lottemart.com.vn/he-thong/sieu-thi-lotte-mart-nha-trang/,
Siêu thị GO! Nha Trang,"Lô số 4, đường 19/5, khu đô thị Vĩnh Điềm Trung, Xã Vĩnh Hiệp, Thành phố Nha Trang, Khánh Hòa",0258 02583894888,dvkh@go-vietnam.vn,https://go-vietnam.vn/,
Trung tâm thương mại Nha Trang center,"Số 20 Trần Phú, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",0258  0983025775 / 6261 999,,http://www.nhatrangcenter.com/shoppingmall.html,
Siêu thị Vincom+Phan Rang,"122 đường 16/4, Phường Mỹ Hải, Thành phố Phan Rang-Tháp Chàm, Ninh Thuận",0259 3828 696,,https://vincom.com.vn/vi/tttm/vincom-phan-rang-ninh-thuan,
Chợ đêm Ninh Thuận,"Đường Trần Quang Diệu, Phường Mỹ Bình, Thành phố Phan Rang-Tháp Chàm, Ninh Thuận",,,,
"Cửa hàng nho, táo Thái Thuận","Thôn Lương Cang 2, Xã Nhơn Sơn, Huyện Ninh Sơn, Ninh Thuận",0259 6557 788/ 0913 646 097,nongsanthaithuan@gmail.com,http://nhotaothaithuan.com/,
Cơ sở sản xuất nước mắm Quang Minh,"QL 1A, Xã Cà Ná, Huyện Thuận Nam, Ninh Thuận",0259 3761 747,,https://co-so-sx-nuoc-mam-quang-minh.business.site/,
Cửa hàng rượu nho nguyên chất Pha Lê,"06 Lương Ngọc Quyến, Phường Phủ Hà, Thành phố Phan Rang-Tháp Chàm, Ninh Thuận",0259 0912 270 227,thaihung20101@gmail.com,,
Cửa hàng nông sản xanh Thảo Trang,"Quốc lộ 1A, Long Bình, Xã An Hải, Huyện Ninh Phước, Ninh Thuận",0259 0901 235 357,nongsanninhthuanvg@gmail.com,,
Siêu thị Co.opMart Thanh Hà,"97 Trần Phú, Phường Phủ Hà, Thành phố Phan Rang-Tháp Chàm, Ninh Thuận",0259 3826 611,,http://www.co-opmart.com.vn,0259 3826 611
Cửa hàng vang nho Viết Nghi,"88 Hải Thượng Lãn Ông, Phường Tấn Tài, Thành phố Phan Rang-Tháp Chàm, Ninh Thuận",0259 3834 996/ 0918298708,vangvietnghi@yahoo.com.vn,http://vangvietnghi.com/,
Trạm dừng chân Thiên Thảo,"QL 1A, Xã Phước Thuận, Huyện Ninh Phước, Ninh Thuận",,,,
Chợ Phan Rang,"Đường Thống Nhất, Phường Kinh Dinh, Thành phố Phan Rang-Tháp Chàm, Ninh Thuận",,,,
Chợ Đầm Nại,"92 Đầm Nại, Thị trấn Khánh Hải, Huyện Ninh Hải, Ninh Thuận",,,,
Siêu thị Lotte Mart Phan Thiết,"Khu dân cư Hùng Vương 1, Phường Phú Thủy, Thành phố Phan Thiết, Bình Thuận",0252 393 96 16,info@lotte.vn,http://lottemart.com.vn,0252 775 15 75
Doanh nghiệp Tư nhân Ngọc Trai Phan Thiết (Long Beach Pearl),"96 Nguyễn Đình Chiểu, Phường Hàm Tiến, Thành phố Phan Thiết, Bình Thuận",0252 374 1812 - 0937 619 979,cskh@longbeachpearl.com,https://longbeachpearl.com,
Siêu thị Co.opmart Phan Thiết,"01A Nguyễn Tất Thành, Phường Bình Hưng, Thành phố Phan Thiết, Bình Thuận",0252 3835 435,chamsockhachhang@coopmart.vn,www.co-opmart.com.vn,0252 3835 454
Công ty cổ phần nước mắm Phan Thiết PTFISACO,"65 Nguyễn Thông, Phường Phú Hài, Thành phố Phan Thiết, Bình Thuận",0252 3812807 - 3812803 - 03812806 - 091 393 2249,concavang.ptfisaco@gmail.com,www.ptfisaco.com.vn,0252 3812802
Cơ sở mua sắm FM Style Phan Thiết,"177-179 Trần Hưng Đạo, Phường Phú Thủy, Thành phố Phan Thiết, Bình Thuận",0252 076 801 0721,fmstyle177pt@gmail.com,http://fmshop.vn/,
Cơ sở sản xuất Nước Mắm Hải Thắng,"CS1: Trường Chinh, Phú Tài-CS2: 2/2 & 188 Nguyễn Thông, P.Phú Hài, Phường Phú Hài, Thành phố Phan Thiết, Bình Thuận",0252 3811 417-3757 745,haithangpt@gmail.com,http://www.nuocmamhaithang.com,
Siêu thị GO! Đà Lạt,"Quảng trường trung tâm Đà Lạt, Đường Trần Quốc Toản, Phường 1, Thành phố Đà Lạt, Lâm Đồng",0263 35 45 088,,https://go-vietnam.vn/store/go-da-lat-32.html,
Chợ Âm Phủ,"Đường Nguyễn Thị Minh Khai, Phường 1, Thành phố Đà Lạt, Lâm Đồng",,,,
Siêu thị L'angfarm Store,"1B Hoàng Văn Thụ, Phường 5, Thành phố Đà Lạt, Lâm Đồng",0263 19009065/381 1081,info@langfarm.com,https://www.langfarm.com/,
Tranh thêu tay Hữu Hạnh,"10 Trương Công Định, Phường 1, Thành phố Đà Lạt, Lâm Đồng",0263 0934122700,vpgc.anc@gmail.com,http://tranhtheuhuuhanh.com/,0263 3832 353
Chợ Đà Lạt,"4 Nguyễn Thị Minh Khai, Phường 1, Thành phố Đà Lạt, Lâm Đồng",0263 3822 618,,,
Cửa hàng Đồ thêu XQ Đà Lạt Sử Quán,"80 Mai Anh Đào, Phường 8, Thành phố Đà Lạt, Lâm Đồng",0263 3831 343/ 3835 265,contact@XQVietnam.com,http://xqvietnam.com/,
Chợ đêm Pleiku,"40 Nguyễn Thiện Thuật, Phường Diên Hồng, Thành phố Pleiku, Gia Lai",,,,
Siêu thị Co.opMart Bảo Lộc,"Tháp Nước, đường Trần Phú, Phường 2, Thành phố Bảo Lộc, Lâm Đồng",0263 3710 610,cmbaoloc@coopmart.vn,http://www.co-opmart.com.vn,
Trung tâm thương mại Vincom Plaza Kon Tum,"02 Phan Đình Phùng, Phường Quyết Thắng, Thành phố Kon Tum, Kon Tum",0260 0848 302 610/038 273 5051,,https://vincom.com.vn/vi/tttm/vincom-plaza-kon-tum,
Siêu thị Co.opMart Pleiku,"21 Cách Mạng Tháng 8, Phường Hoa Lư, Thành phố Pleiku, Gia Lai",0269 3720 001/ 2220 492,pkmarketing@coopmart.vn,http://www.co-opmart.com.vn/ https://www.facebook.com/CoopMartPleiku,0269 3720 010
Siêu thị Co.op Mart Chư Sê,"912 Hùng Vương, Tổ Dân Phố 4, Thị trấn Chư Sê, Huyện Chư Sê, Gia Lai",0269  388 6111,cmchuse-mkt@coopmart.vn,http://www.co-opmart.com.vn/,
Trung tâm thương mại Intimex,"31 Nguyễn Tất Thành, Phường Tân Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk",0262 3959 599,cskh@intimexplaza.com.vn,http://intimexhcm.com/index.php?vn/about/branch/4504,
Siêu thị Co.opMart Buôn Ma Thuột,"71 Nguyễn Tất Thành, Phường Tân An, Thành phố Buôn Ma Thuột, Đắk Lắk",0262 3957 988,bmtmarketing@coopmart.vn,http://www.co-opmart.com.vn/,0262 3958 905
Chợ trung tâm Buôn Ma Thuột,"Nguyễn Công Trứ, Phường Tân Tiến, Thành phố Buôn Ma Thuột, Đắk Lắk",,,,
Trung tâm thương mại Vincom Buôn Ma Thuột,"Số 78 Lý Thường Kiệt, Phường Thắng Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk",0262 3898 988,,https://vincom.com.vn/vi/tttm/vincom-plaza-buon-ma-thuot-dak-lak,
Siêu thị MM Mega Market Buôn Ma Thuột,"Tổ dân phố 5, đường Đồng Khởi, Phường Tân An, Thành phố Buôn Ma Thuột, Đắk Lắk",0262 0979 840 931/0262 3886 666,,https://online.mmvietnam.com/store/mm-buon-ma-thuot/   https://www.facebook.com/MMMegaMarket.Buonmathuot/,
Cửa hàng Quà Tặng - Lưu Niệm - Đặc sản Tây Nguyên Minh Tùng,"83 Nguyễn Văn Cừ, Phường Tân Lập, Thành phố Buôn Ma Thuột, Đắk Lắk",0262 3957 376/ 0972 93 79 79,,http://dacsantaynguyenminhtung.com/qua-tang-luu-niem-tay-nguyen-1,
Landmark 72,"Lô E6, đường Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội",024 3772 3801,,http://www.landmark72.com,
Rượu cần Y Miên,"539 Nguyễn Văn Cừ, Phường Tân Hòa, Thành phố Buôn Ma Thuột, Đắk Lắk",0262 0982 683 627,,https://www.ymien.com/,
Siêu thị Co.opmart Đắk Nông,"Đường Huỳnh Thúc Kháng, Tổ dân phố 1, Phường Nghĩa Thành, Thị xã Gia Nghĩa, Đắk Nông",0261 3555 552,,http://www.co-opmart.com.vn/  https://www.facebook.com/cmdaknong/,
Chợ Nhân Cơ,"Nguyễn Tất Thành, Xã Nhân Cơ, Huyện Đắk R'Lấp, Đắk Nông",,,,
Nhà sách-Siêu thị Văn hóa Pleiku,"06 Lê Lợi, Phường Hội Thương, Thành phố Pleiku, Gia Lai",0269 3874 456,,,0269 3824 333
Chợ đêm Đồng Xuân,"Phố Đồng Xuân, Phường Đồng Xuân, Quận Hoàn Kiếm, Thành phố Hà Nội",,,,
Chợ đêm phố cổ Hà Nội,"Phố Hàng Ngang, Hàng Đào, Phường Hàng Đào, Quận Hoàn Kiếm, Thành phố Hà Nội",,,,
Trung tâm thương mại Soiva Vĩnh Phúc,"đường Mê Linh, Phường Khai Quang, Thành phố Vĩnh Yên, Vĩnh Phúc",0211 3711 882,,,
Ivy Moda Vĩnh Phúc,"189 Mê Linh, Phường Liên Bảo, Thành phố Vĩnh Yên, Vĩnh Phúc",0211 3726 333,,https://ivymoda.com/,
Siêu thị điện máy HC Vĩnh Phúc,"Ngã 5 Nguyễn Tất Thành, Phường Liên Bảo, Thành phố Vĩnh Yên, Vĩnh Phúc",0211 3726 818,,http://hc.com.vn/,
Siêu thị MediaMart Vĩnh Phúc,"Số 5 Nguyễn Tất Thành, Phường Tích Sơn, Thành phố Vĩnh Yên, Vĩnh Phúc",0211 3539 999,,,
Trung tâm thương mại tổng hợp tranh đá quý Dũng Tân,"Quốc lộ 3, TDP Khuynh Thạch, Phường Cải Đan, Thành phố Sông Công, Thái Nguyên",0208 3761 881,,,
Tương nếp Úc Kỳ,"Xóm nam 1, Xã Úc Kỳ, Huyện Phú Bình, Thái Nguyên",0208 669 439,,,
Rượu Hồ Lan,"259, đường Quang Trung, tổ 12, Phường Tân Thịnh, Thành phố Thái Nguyên, Thái Nguyên",0208 326 222,,,
Trái cây nhập khẩu EUS FRUIT,"593 Lê Quý Đôn, Phường Trần Lãm, Thành phố Thái Bình, Thái Bình",0227 720 3888,,www.eusfruit.vn,
Siêu thị hàng tiêu dùng Nhật Minh,"192 Hai Bà Trưng, Phường Lê Hồng Phong, Thành phố Thái Bình, Thái Bình",0227 3888 888,tttmnhatminh@gmail.com,,
Siêu thị DOFA,"102 Trần Hưng Đạo, Phường Trần Hưng Đạo, Thành phố Thái Bình, Thái Bình",0227 0973 282 666,,,
Siêu thị đặc sản Hòa Yên,"307 Lê Duẩn, Phường 7, Thành phố Tuy Hoà, Phú Yên",0257 0916.492.394,dacsanphuyen.hy@gmail.com,https://www.dacsanhoayen.com/,
Cửa hàng Yến Sào A Đồng,"437 Trần Hưng Đạo, Phường 6, Thành phố Tuy Hoà, Phú Yên",0257 0903 505047,sale@yensaoadong.com,https://www.yensaoadong.com/,
Chợ Tuy Hòa,"Ngã tư Trần Hưng Đạo và Lương Văn Chánh, Phường 4, Thành phố Tuy Hoà, Phú Yên",0257 0919 119 119,,,
Trung tâm thương mại Vincom Phú Yên,"Góc Đông Bắc ngã tư đường Hùng Vương và Trần Phú, Phường 7, Thành phố Tuy Hoà, Phú Yên",0257 3888 868,,https://vincom.com.vn/vi/tttm/vincom-plaza-tuy-hoa/vincom-plaza-tuy-hoa,
Siêu thị Co.opMart Tuy Hoà,"Ô Phố B8 Khu Dân Dụng Duy Tân, đường Duy Tân, Phường 4, Thành phố Tuy Hoà, Phú Yên",0257 3818 171,,http://www.co-opmart.com.vn/,
Chợ đêm Sầm Sơn,"Đường Nguyễn Du, Phường Trung Sơn, Thành phố Sầm Sơn, Thanh Hóa",,,,
Chợ hải sản Cô Giang,"40 Cô Bắc, Phường 4, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",,,,
Vựa hải sản Thành Phát,"334 Trần Phú, Phường 5, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",0254 3550 595,,,
Ốc Tự Nhiên,"32 Lê Quý Đôn, Phường 1, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",0254 090 337 64 68,,,
Chợ mới,"Đường 30 tháng tư, Phường 11, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",0254 6071 118,,,
Sơn mài mỹ nghệ Thùy Dương,"Ngã ba Lê Lợi, Phường 1, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",,,,
Co-op Mart Hồng Ngự,"Khu nhà cao ốc KII, Phường An Thạnh, Thị xã Hồng Ngự, Đồng Tháp",,,,
Chợ Bến Đá,"Trần Phú, Phường 5, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",,,,
