Tên cơ sở,Địa chỉ,Điện thoại,Email,Website,Fax
Nhà hàng Ngon 3 miền,"158 Hai Bà Trưng, Phường Diên Hồng, Thành phố Pleiku, Gia Lai",0269 382 8811,,,
Nhà hàng Ngói Nâu,"120 Nguyễn Thái Học, Phường Hội Thương, Thành phố Pleiku, Gia Lai",0269 093 251 7688,quocv79@gmail.com,,
Nhà hàng Hoa Giấy,"42 Hoàng Văn Thụ, Phường Yên Đỗ, Thành phố Pleiku, Gia Lai",0269 379 7989,,,
Nhà hàng Biển Hồ Xanh,"662 Phạm Văn Đồng, Phường Yên Thế, Thành phố Pleiku, Gia Lai",0269 628 6106,,,
Nhà hàng Bazan,"480 Lê Duẩn, Phường Thắng Lợi, Thành phố Pleiku, Gia Lai",0269 382 1783,,,
Nhà hàng Ngọc Châu,"111 đường 3/2, Phường V, Thành phố Vị Thanh, Hậu Giang",0293 3583 838/ 094 441 18 79,,,
Nhà hàng Gia Bảo,"Đường Đoàn Văn Chia, Phường Ngã Bảy, Thị xã Ngã Bảy, Hậu Giang",0293 091 986 72 22,,,
Nhà hàng Hoa Tiên,"6A Trần Hưng Đạo, TX Long Mỹ, Phường Thuận An, Thị xã Long Mỹ, Hậu Giang",0293 3510 999,,,
Quán Đối Chứng,"25 Nguyễn Công Trứ, KV 4, Phường I, Thành phố Vị Thanh, Hậu Giang",0293 3878 148,,,
Quán Huy Hoàng,"19 Trần Ngọc Quế, KV 6, Phường III, Thành phố Vị Thanh, Hậu Giang",0293 3876 716,,,
Nhà hàng Tân Hậu Giang,"33-35 đường 3/2, Phường V, Thành phố Vị Thanh, Hậu Giang",0293 3876 360,,,
Quán Nga Muội,"59 Nguyễn Văn Trỗi, Phường III, Thành phố Vị Thanh, Hậu Giang",0293 6260 079,,,
Nhà hàng Thủy Tùng,"71 Nguyễn Văn Trỗi, Phường 2, Thành phố Bảo Lộc, Lâm Đồng",0263 078 400 0555,,,
Nhà hàng Cali,"5 - 7 Hà Huy Tập, Phường 2, Thành phố Bảo Lộc, Lâm Đồng",0263 098 258 0158,,,
Ẩm Thực Vodka Quán,"26 Nguyễn Công Trứ, lô 90, Thị trấn Liên Nghĩa, Huyện Đức Trọng, Lâm Đồng",0263 094 139 5079,,,
Ẩm Thực SuSin,"705 quốc lộ 20, Thị trấn Liên Nghĩa, Huyện Đức Trọng, Lâm Đồng",0263 094 771 5716,nhahangamthucsusin@gmail.com,,
Ẩm Thực Góc Phố Xanh,"19/14 Bùi Thị Xuân, Phường 1, Thành phố Bảo Lộc, Lâm Đồng",0263 221 2888,,,
Nhà hàng Xuân Anh,"Đại Hữu, Xã Mỹ Lộc, Huyện Hậu Lộc, Thanh Hóa",0237 077 888 2286,,,
Nhà hàng Trọng Tình,"Bãi biển Hải Tiến, Xã Hoằng Tiến, Huyện Hoằng Hóa, Thanh Hóa",0237 097 483 6992,nhahangtrongtinh260892@gmail.com,,
Nhà hàng Minh Hạnh,"Đường Hồ Xuân Hương, khu du lịch Vạn Chài, Phường Quảng Cư, Thành phố Sầm Sơn, Thanh Hóa",0237 098 575 7523,thuhang.240@gmail.com,http://minhhanhsamson.com/,
Nhà hàng Mái Lá Làng Chài,"Đường Hồ Xuân Hương, Phường Quảng Cư, Thành phố Sầm Sơn, Thanh Hóa",0237 091 202 9641,,,
Khu ẩm thực Hương Vị Việt,"Số 14 khu 1, Thị trấn Hậu Lộc, Huyện Hậu Lộc, Thanh Hóa",0237 093 626 6313,,,
Nhà hàng Hưng Thịnh,"Bãi biển Hải Tiến, Xã Hoằng Tiến, Huyện Hoằng Hóa, Thanh Hóa",0237 038 634 3898,,,
Nhà hàng Lion City,"09 Nam Kỳ Khởi Nghĩa, Phường Tân An, Quận Ninh Kiều, Thành phố Cần Thơ",0292 0914 781 313,,,
Nhà hàng Du thuyền Cần Thơ,"Đường Hai Bà Trưng, Phường An Phú, Quận Ninh Kiều, Thành phố Cần Thơ",0292 3810 841,,,
Nhà hàng Sushi Sakura,"103 Trần Hưng Đạo, Phường An Phú, Quận Ninh Kiều, Thành phố Cần Thơ",0292 0934 872 177,,,
Nhà hàng Sao Mai,"41A, Đường 3/2, Phường Xuân Khánh, Quận Ninh Kiều, Thành phố Cần Thơ",0292 3845 888,,,
Nhà hàng Đại Dương,"12 Lê Lợi, Phường Cái Khế, Quận Ninh Kiều, Thành phố Cần Thơ",0292 3845 888,,,
Nhà hàng Kaiserin,"K36 Võ Thị Sáu, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai",0251 0915 767 376,,,
Nhà hàng Ngọc Cảnh,"390 Nguyen Ai Quoc, Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",0251 0938 670 088,,,
Nhà hàng Sông Tràm,"224/24 Phạm Văn Thuận, Phường Tam Hiệp, Thành phố Biên Hòa, Đồng Nai",0251 0917 305 388,,,
Nhà hàng Việt Phố,"63/21A Võ Thị Sáu, KP1, Phường Quyết Thắng, Thành phố Biên Hòa, Đồng Nai",0251 3680 024,,,
Nhà hàng Gió,"92 Võ Thị Sáu, Tổ 7, Khu phố 7, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai",0251 0915 852 506,,,
Nhà hàng sinh thái Bàu Sen,"Quốc lộ N2, Thị trấn Mỹ An, Huyện Tháp Mười, Đồng Tháp",0277  3964 888,,,
Nhà hàng Sếu Đỏ Cao Lãnh,"Số 10 Quốc lộ 30, Phường Mỹ Phú, Thành phố Cao Lãnh, Đồng Tháp",0277 091 910 88 01,,,
Ẩm thực Thuyền Buồm,"422-424  Trần Hưng Đạo, Phường 1, Thành phố Cao Lãnh, Đồng Tháp",0277 3536 689/ 097 904 22 22,,,
Việt Hàn Quán,"Khu đô thị Vườn Xanh, Khối 7, Thị trấn Đô Lương, Huyện Đô Lương, Nghệ An",0238 096 390 6908,,,
Nhà hàng Sành Sứ,"Yên Sơn, Thị trấn Đô Lương, Huyện Đô Lương, Nghệ An",0238 091 434 9777,,,
Nhà hàng Quán Xưa 102,"Xóm 3, Thị trấn Đô Lương, Huyện Đô Lương, Nghệ An",0238 097 613 4678,,,
Nhà hàng Huynh Đệ,"Yên Trường, Yên Sơn, Thị trấn Đô Lương, Huyện Đô Lương, Nghệ An",0238 098 145 4229,,,
Nhà hàng Chung Còi,"Khu đô thị Vườn Xanh, Thị trấn Đô Lương, Huyện Đô Lương, Nghệ An",0238 096 848 9345,,,
Ẩm thực sân vườn Hoàng Yến,"252 Trần Phú, Phường An Lộc, Thị xã Hồng Ngự, Đồng Tháp",0277 3839 768,,,
Nhà hàng Tú Hảo,"17  Điện Biên Phủ, Phường Mỹ Phú, Thành phố Cao Lãnh, Đồng Tháp",0277 3891 368,nhahangtuhao@gmail.com,,
Nhà hàng Thành Công,"Khối 3, Thị trấn Đồng Lộc, Huyện Can Lộc, Hà Tĩnh",0239 091 627 0729,,,
Nhà hàng Thái Bình,"42 Nguyễn Huy Oánh, Phường Nguyễn Du, Thành phố Hà Tĩnh, Hà Tĩnh",0239 090 495 8988,,,
Nhà hàng Nhà Tôi,"67 Lê Duẩn, Phường Trần Phú, Thành phố Hà Tĩnh, Hà Tĩnh",0239 094 291 7678,,,
Nhà hàng Hàm Nghi,"36 Hàm Nghi, Phường Hà Huy Tập, Thành phố Hà Tĩnh, Hà Tĩnh",0239 098 589 5686,nhahanghamnghi@gmail.com,,
Nhà Hàng Hải sản Bến Xưa,"Cầu Hộ Độ - Xóm Hạ, Xã Thạch Hạ, Thành phố Hà Tĩnh, Hà Tĩnh",0239 353 5999,,,
Nhà hàng Đại Dương Xanh,"28 Nguyễn Huy Oánh, Phường Nguyễn Du, Thành phố Hà Tĩnh, Hà Tĩnh",,,,
Nhà hàng Biển Quê,"Thôn 12, Xã Cỗ Đạm, Huyện Nghi Xuân, Hà Tĩnh",0239 098 917 9333,,,
Nhà hàng Sóng Thần,"đường Hương Giang, Phường Đồng Hải, Thành Phố Đồng Hới, Quảng Bình",0232 382 5387,,,
Nhà hàng Quốc Dũng,"Đường Trương Pháp, Xã Quang Phú, Thành Phố Đồng Hới, Quảng Bình",0232 381 0071,,,
Nhà hàng Đức Hạnh,"Đường Trương Pháp, Xã Quang Phú, Thành Phố Đồng Hới, Quảng Bình",0232 093 489 8789,nhahangduchanhqb@gmail.com,,
Nhà hàng nổi Bình Yên,"Khu vườn Dừa, đường Hương Giang, Phường Đồng Hải, Thành Phố Đồng Hới, Quảng Bình",0232 090 345 2053,,,
Nhà hàng nổi Bình Minh,"Đường Nguyễn Văn Trỗi, Phường Đồng Hải, Thành Phố Đồng Hới, Quảng Bình",0232 399 7777,,,
Nhà hàng Phố Mới,", Thành phố Cao Bằng, Cao Bằng",,,,
Nhà hàng Hiền Tú,"Ngã tư Nà Cáp, Phường Sông Hiến, Thành phố Cao Bằng, Cao Bằng",,,,
Nhà hàng Huy Linh,"08, tổ 5, Phường Ngọc Xuân, Thành phố Cao Bằng, Cao Bằng",0206 388 8288,,,
Nhà hàng Ý Hằng,"60 Lý Thái Tổ, Phường 2, Thị xã Quảng Trị, Quảng Trị",0233 077 453 0603,,,
Nhà hàng Tân Phúc,"212 Lê Lợi, Phường Đông Lương, Thành phố Đông Hà, Quảng Trị",0233 356 1268,,,
Nhà hàng Tân Châu,"222 Lê Duẩn, Phường Đông Lễ, Thành phố Đông Hà, Quảng Trị",0233 385 1420,nhahangtanchau2@gmail.com,,
Nhà hàng Phương Đông BBQ,"20 Đại Cồ Việt, Phường Đông Lương, Thành phố Đông Hà, Quảng Trị",0233 359 5888,phuongdong.bbq@gmail.com,,
Nhà hàng Nhất Nướng BBQ,"6B Duy Tân, Phường Đông Lương, Thành phố Đông Hà, Quảng Trị",0233 097 452 5342,,,
Tràng Tiền Seafood Huế,"5 Bến Nghé, Phường Phú Hội, Thành phố Huế, Thừa Thiên Huế",0234 387 9807,,,
Nhà hàng Ngọc Anh,"133 Nguyễn Sinh Cung, Phường Vĩ Dạ, Thành phố Huế, Thừa Thiên Huế",0234 094 588 1973,,,
Nhà hàng Hải sản Bé Thân,"Đường Nguyễn Văn, Thị trấn Lăng Cô, Huyện Phú Lộc, Thừa Thiên Huế",0234 036 677 0000,haisanbethanlangco@gmail.com,http://nhahangbethan.vn/,
Diên Trường Quán,"09 Đặng Do, gần cầu Diên Trường, Thị trấn Thuận An, Huyện Phú Vang, Thừa Thiên Huế",0234 385 7810,,,
Đầm Chuồn Hương Quán,"Đường Đê Tây Phá Đông, Xã Phú An, Huyện Phú Vang, Thừa Thiên Huế",0234 093 593 0306,,,
Nhà hàng dê tươi Thịnh Thành,"Đường Bờ Sông Đáy, Phường Lê Hồng Phong, Thành phố Phủ Lý, Hà Nam",0226 0782 239 898,,,
Nhà hàng Tam Chúc Hà Nam,"Chân dốc núi Sẻ, thôn Do Lễ, Xã Liên Sơn, Huyện Kim Bảng, Hà Nam",0226 923 745,,,
Nhà hàng Thứ Cò Hà Nam,"60 Lê Công Thanh, Thành phố Phủ Lý, Hà Nam",0226 0982 316 738,thucohanam@gmail.com,http://nhahangthuco.com/,
Nhà hàng Dê Minh Đức,"586 Trần Phú, Phường Đình Bảng, Thị xã Từ Sơn, Bắc Ninh",,,,
Nhà hàng Hương Mãn Lầu,"44 Nguyễn Văn Cừ, Phường Ninh Xá, Thành phố Bắc Ninh, Bắc Ninh",,,,
Nhà hàng Bắc Ninh Sala,"Nguyễn Bá Tuấn, Phường Suối Hoa, Thành phố Bắc Ninh, Bắc Ninh",0222 6504 567,,,
Nhà hàng Tùng Xẻo,"108 Lạc Long Quân, Phường Đáp Cầu, Thành phố Bắc Ninh, Bắc Ninh",,,,
Nhà hàng Sen Vàng,"Khu đô thị Bờ Tây sông Đáy , Phường Lê Hồng Phong, Thành phố Phủ Lý, Hà Nam",0226 0868 622 668,,,
Nhà hàng Hiệp An,"Số 5 phố Bùi Văn Dị, Phường Trần Hưng Đạo, Thành phố Phủ Lý, Hà Nam",0226 0978 258 699,,,
Nhà hàng Lá cọ 2,"Núi Cấm, Xã Thi Sơn, Huyện Kim Bảng, Hà Nam",0226 187 777,,,
Golden BBQ Hà Giang,"42A Nguyễn Văn Linh, Thành phố Hà Giang, Hà Giang",0219 0943 912 992,,,
Cappuccino cafe Hà Giang,"108 Nguyễn Du, Phường Nguyễn Trãi, Thành phố Hà Giang, Hà Giang",0219 0834 158 998,,,
Nhà hàng Nam Hoa Viên,"100 Tiểu La, Phường Hòa Thuận Tây, Quận Hải Châu, Thành phố Đà Nẵng",0236 350 9448,,,
Nhà hàng Mỹ Hạnh,"Lô 17-18 Hoàng Sa, Phường Phước Mỹ, Quận Sơn Trà, Thành phố Đà Nẵng",0236 383 1494,cskh@myhanhseafood.com.vn,https://myhanhseafood.vn/,
Mỳ Quảng Ếch Bếp Trang,"441 Ông Ích Khiêm, Phường Nam Dương, Quận Hải Châu, Thành phố Đà Nẵng",0236 627 7771,,,
Nhà hàng Memory Lounge,"7 Bạch Đằng, Phường Hải Châu  I, Quận Hải Châu, Thành phố Đà Nẵng",0236 357 5899,,,
Nhà hàng Limoncello,"187 Trần Phú, Phường Phước Ninh, Quận Hải Châu, Thành phố Đà Nẵng",0236 356 1064,,https://limoncellovn.com/,
Nhà hàng Lam Viên,"88 Trần Văn Dư, Bắc Mỹ An, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",0236 395 9171,lamvienrestaurant196@gmail.com,http://lamviendanang.com/,
Nhà hàng Fatfish,"439 Trần Hưng Đạo, Phường An Hải Tây, Quận Sơn Trà, Thành phố Đà Nẵng",0236 394 5707,reservation@fatfishrestaurant.com,https://fatfishrestaurant.com/,
Nhà hàng Blue Whale,"6 Võ Nguyên Giáp, Phường Phước Mỹ, Quận Sơn Trà, Thành phố Đà Nẵng",0236 3942 777,,,
Nhà hàng Vĩnh Hưng,"01 Châu Thượng Văn, Phường Minh An, Thành phố Hội An, Quảng Nam",0235 386 2203,info@vinhhungrestaurant.com,https://www.vinhhungrestaurant.com/,
Quán Ông Hai,"6A Trương Minh Lượng, Phường Cẩm Châu, Thành phố Hội An, Quảng Nam",0235 391 4406,,,
Làng ẩm thực Trà Quế,"Thôn Trà Quế, Xã Cẩm Hà, Thành phố Hội An, Quảng Nam",0235 090 511 7793,info@traqueculinaryvillage.com,www.traqueculinaryvillage.com,
Cơm gà Phúc,"11 Phan Châu Trinh, Phường Minh An, Thành phố Hội An, Quảng Nam",0235 090 542 0323,,,
Cơm gà Bà Buội,"22 Phan Châu Trinh, Phường Minh An, Thành phố Hội An, Quảng Nam",0235 090 576 7999,,,
Nhà hàng Vườn Xoài,"94 Nguyễn Thị Minh Khai, Phường Phước Hòa, Thành phố Nha Trang, Khánh Hòa",0258 351 5335,,,
Nhà hàng Ngọc Trai,"97 Nguyễn Thị Minh Khai, Phường Phước Hòa, Thành phố Nha Trang, Khánh Hòa",0258 351 6088,nhahangngoctraint@gmail.com,,
Lữ quán Thiên Phước,"Bãi Tiên, đường Phạm Văn Đồng, Phường Vĩnh Hòa, Thành phố Nha Trang, Khánh Hòa",0258 090 352 4350,,,
Nhà hàng Làng Biển,"9C Phạm Văn Đồng, Phường Vĩnh Thọ, Thành phố Nha Trang, Khánh Hòa",0258 354 5288,,,
Quán Bà Tú Lan,"Số nhà 125, tổ 3, Thị trấn Đồng Văn, Huyện Đồng Văn, Hà Giang",0219 01663 276 042,,,
Nhà hàng Hương Việt,"01 Trần Hưng Đạo, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",0258 382 2471,,,
Nhà hàng Biển Rừng,"15 Chu Văn An, Thị trấn Diên Khánh, Huyện Diên Khánh, Khánh Hòa",0258 628 2828,,,
Cháo ấu tẩu Ngân Hà,"161 Trần Hưng Đạo, Phường Trần Phú, Thành phố Hà Giang, Hà Giang",,,,
Thắng dền – Đặc sản Hà Giang,"154 Trần Hưng Đạo, Phường Nguyễn Trãi, Thành phố Hà Giang, Hà Giang",,,,
Nhà hàng Lan Dũng,"55 Trần Phú – 183 Cù Chính Lan, Phường Thái Bình, Thành phố Hòa Bình, Hoà Bình",0218 3853 379,nha.hang.lan.dung@gmail.com,,
Galbi Grill House,"720 Đà Giang, Phường Thái Bình, Thành phố Hòa Bình, Hoà Bình",0218 0988 916 336,,,
Nhà hàng Lạc Thịnh,"Đối diện UBND phường Tân Thịnh, Thành phố Hòa Bình, Hoà Bình",0218 0978 339 666,,,
Nhà hàng Cá Thác Bờ,"Số 159 đường Đinh Tiên Hoàng, tổ 5, Thành phố Hòa Bình, Hoà Bình",0218 0896 629 688‬,,,
Nhà hàng Gia Hân,"Đà Giang, cạnh AP Plaza, Phường Đồng Tiến, Thành phố Hòa Bình, Hoà Bình",0218 0987 236 789,,,
Nhà hàng Nam Huyền,"Lý Thường Kiệt, phường Chăm Mát, Thành phố Hòa Bình, Hoà Bình",,,,
Quán Như Ý,"325 Trần Hưng Đạo, Thành phố Hòa Bình, Hoà Bình",,,,
Trà sữa Tocotoco,"21 Lạc Long Quân, Thành phố Hòa Bình, Hoà Bình",,,,
Nhà hàng Việt Nam Home,"125A Nguyễn Đình Chiểu, Phường Hàm Tiến, Thành phố Phan Thiết, Bình Thuận",0252 094 283 0089,contact@vietnamhomerestaurant.com,,
Vespa Quán,"80 Hùng Vương, Phường Phú Thủy, Thành phố Phan Thiết, Bình Thuận",0252 094 982 8393,mailinh9984@gmail.com,,
Nhà hàng Năm Dư Mũi Né,"3B Nguyễn Đình Chiểu, Phường Hàm Tiến, Thành phố Phan Thiết, Bình Thuận",0252 0909 903 955,info@namdumuine.com,https://namdumuine.com,
Nhà hàng Mũi Né Xưa,"360 Nguyễn Thông, Phường Phú Hài, Thành phố Phan Thiết, Bình Thuận",0252 090 111 1666,,,
Nhà hàng Một Nắng,"122 Nguyễn Đình Chiểu, Phường Hàm Tiến, Thành phố Phan Thiết, Bình Thuận",0252 092 841 9988,muine.asia@gmail.com,,
Nhà hàng Hải Mã,"16 Nguyễn Đình Chiểu, Phường Hàm Tiến, Thành phố Phan Thiết, Bình Thuận",0252 3847 507,pr@seahorseresortvn.com,https://seahorsemuine.com,
Thu Búp Mì Quảng,"234 Hùng Vương, Phường Trần Phú, Thành phố Quảng Ngãi, Quảng Ngãi",0255 381 8680,,,
Quyên Ram Thịt nướng,"234 Phan Đình Phùng, Phường Chánh Lộ, Thành phố Quảng Ngãi, Quảng Ngãi",0255 093 552 7189,,,
Quán ngon,"Đường số 9, Khu Ngọc Bảo Viên, Phường Nghĩa Lộ, Thành phố Quảng Ngãi, Quảng Ngãi",0255 093 797 0683,,,
Nhà hàng Gạch Đỏ,"Đường Trương Quang Giao, Phường Nghĩa Chánh, Thành phố Quảng Ngãi, Quảng Ngãi",0255 383 1948,,,
Nhà hàng Đồng Viên,"267 Phan Bội Châu, Phường Trần Hưng Đạo, Thành phố Quảng Ngãi, Quảng Ngãi",0255 038 536 5321,,,
Nhà hàng Mâm Son,"6A Hoàng Diệu, Quận Hồng Bàng, Thành phố Hải Phòng",0225 3747 525,,,
Nhà hàng Nam Sơn,"Cầu Rế, Quận Lê Chân, Thành phố Hải Phòng",0225 3293 328,,,
Nhà hàng Number 9,"75 Trần Khánh Dư, Phường Máy Tơ, Quận Ngô Quyền, Thành phố Hải Phòng",0225 3652 683,,,
Nhà hàng Gà tươi Minh Thắng,"Cụm 4, Phường Đông Khê, Quận Ngô Quyền, Thành phố Hải Phòng",0225 0906864040,,,
Nhà hàng Flame Grill & Bar,"12 Lạch Tray, Phường Lạch Tray, Quận Ngô Quyền, Thành phố Hải Phòng",0225 3240 999,,,
Nhà hàng Anh Nhật Gia Viên,"1087 Trần Hưng Đạo, Phường Đống Đa, Thành phố Qui Nhơn, Bình Định",0256 379 4493,,,
Bếp Hana,"59A Lý Thường Kiệt, Phường Lê Hồng Phong, Thành phố Qui Nhơn, Bình Định",0256 093 486 9939,,,
Cơm gà Trần Thị,"168 Lê Hồng Phong, Phường Trần Phú, Thành phố Qui Nhơn, Bình Định",0256 097 204 9721,,,
Nhà hàng Làng Việt,"23-25 Lê Đức Thọ, Phường Trần Hưng Đạo, Thành phố Qui Nhơn, Bình Định",0256 381 8028,,,
Nhà hàng Sáu Cao 2,"6 Võ Nguyên Giáp, Phường Đống Đa, Thành phố Qui Nhơn, Bình Định",0256 379 2279,,,
Nhà hàng Hoàng Vũ Plaza,"Khu dân cư Ngô Gia Tự, Phường Bình Định, Thị xã An Nhơn, Bình Định",0256 383 6768,nhvu@hoangyenhotel.com.vn,http://tieccuoiannhon.com.vn/,
Nhà hàng Phú Anh,"123A Nguyễn Huệ, Phường 5, Thành phố Tuy Hoà, Phú Yên",,,,
Nhà hàng Bãi Tiên,"Quốc lộ 1A, Xã Xuân Cảnh, Thị xã Sông Cầu, Phú Yên",0257 387 0322,,,
Nhà hàng Như Ý,"Quốc lộ 1A, Xã Xuân Cảnh, Thị xã Sông Cầu, Phú Yên",0257 371 1021,,,
Nhà hàng Kim Hương,"585 Hùng Vương, Phường 2, Thành phố Tuy Hoà, Phú Yên",0257 355 5828,,,
Nhà hàng Dragon,"92-94 Trần Phú, Phường 2, Thành phố Tuy Hoà, Phú Yên",0257 368 6839,,,
Nhà hàng Sogabil,"2 đường Ngô Gia Tự, Phường Trần Phú, Thành phố Bắc Giang, Bắc Giang",0204 02043555696,,,
Nhà hàng Queens,"Lô 1-10 đường Nguyễn Doãn Địch, Phường Trần Nguyên Hãn, Thành phố Bắc Giang, Bắc Giang",0204 02043558899,,,
Nhà hàng Bá Tước,"Quốc lộ 1, TT. Nếnh, Việt Yên, Bắc Giang, Thị trấn Nếnh, Huyện Việt Yên, Bắc Giang",0204 0984080710,,,
Nhà hàng Abo 's Grill,"Làn 2, Phố Bình Minh, TT. Đồi Ngô, Huyện Lục Nam, Bắc Giang, Thị trấn Đồi Ngô, Huyện Lục Nam, Bắc Giang",0204 0204656669,,,
Nhà hàng CaNa Bay,"Quốc lộ 1A, Lạc Sơn 2, Xã Cà Ná, Huyện Thuận Nam, Ninh Thuận",0259 096 285 2525,,,
Nhà hàng Pushkin,"72 Yên Ninh, Phường Văn Hải, Thành phố Phan Rang-Tháp Chàm, Ninh Thuận",0259 093 379 1266,,,
