Tên cơ sở,Địa chỉ,Điện thoại,Email,Website,
Sân bóng đá cỏ nhân tạo Hải Minh,"Đường D5, Phường Lê Hồng Phong, Thành phố Phủ Lý, Hà Nam",0226 0226 388 2388,,https://www.facebook.com/S%C3%A2n-b%C3%B3ng-%C4%91%C3%A1-c%E1%BB%8F-nh%C3%A2n-t%E1%BA%A1o-H%E1%BA%A3i-Minh-278380399021649,Website: https://www.facebook.com/S%C3%A2n-b%C3%B3ng-%C4%91%C3%A1-c%E1%BB%8F-nh%C3%A2n-t%E1%BA%A1o-H%E1%BA%A3i-Minh-278380399021649
Sân golf Kim Bảng Hà Nam,"Tổ dân phố số 5, Thị trấn Ba Sao, Huyện Kim Bảng, Hà Nam",0982929888,booking@golftruongan.com.vn,http://www.golftruongan.vn,
Nhà thi đấu Thể dục thể thao tỉnh Hà Nam,"Đường tỉnh 9711, thôn Phú Hoàn, Xã Tiên Hiệp, Thành phố Phủ Lý, Hà Nam",,,,
Trung tâm Văn hóa - Thể thao tỉnh Sóc Trăng,"12 Nguyễn Chí Thanh, Phường 6, Thành phố Sóc Trăng, Sóc Trăng",0299 3821 945,,,
262 Gym Center,"262 Nguyễn Văn Linh, Phường 2, Thành phố Sóc Trăng, Sóc Trăng",0299 3824 262,,,
Nhựt Phong Gym,"215 – 215A Hùng Vương, Phường 6, Thành phố Sóc Trăng, Sóc Trăng",090 472 19 01,,,
CLB Gym & Fitness Phan Đình Phùng,"41A Phan Đình Phùng, Phường 2, Thành phố Tân An, Long An",094 873 01 17,,,
Phòng tập Gym F3,"162 Huỳnh Văn Tạo, Phường 3, Thành phố Tân An, Long An",090 236 95 67,,,
XGYM Fitness & Yoga,"8 Nguyễn An Ninh, Phường 3, Thành phố Tân An, Long An",098 803 34 62,,,
Trung tâm Thể dục Golden Heath,"E12-70-71 Tôn Đức Thắng, Phường Vĩnh Lạc, Thành phố Rạch Giá, Kiên Giang",083 400 58 52,,,
Victoria Gym Rạch Giá,"1084 - 1086 Nguyễn Trung Trực, Phường An Bình, Thành phố Rạch Giá, Kiên Giang",091 747 64 64,,,
Câu lạc bộ Thể thao Nam Anh,"Khu đô thị mới 67ha, Bắc Dương Đông, KP9, Thành phố Phú Quốc, Kiên Giang",090 999 77 48,,,
Pullman Fit (thuộc Pullman Resort),"Tổ 6, xóm Bàn Quy, ấp Đường Bào, Xã Dương Tơ, Thành phố Phú Quốc, Kiên Giang",0297 2679 999,,,
Iron Gym Phú Quốc,"465 Nguyễn Văn Cừ, Phường An Thới, Thành phố Phú Quốc, Kiên Giang",0356 599 198,,,
Ken Gym Finess Center,"121 - 123 Nguyễn Văn Cừ, KP 8, Phường An Thới, Thành phố Phú Quốc, Kiên Giang",090 868 60 69,,,
Top Gym,"16 Lê Hồng Phong, KP 5, Phường Dương Đông, Thành phố Phú Quốc, Kiên Giang",0297 6284 888,,,
Thế Giới Gym 4,"115 Trần Hưng Đạo, Phường Dương Đông, Thành phố Phú Quốc, Kiên Giang",0297 3997 575,,,
Phú Quốc Gym,"308A Nguyễn Trung Trực, Phường Dương Đông, Thành phố Phú Quốc, Kiên Giang",090 121 58 52,,,
Boss Gym Phú Quốc,"217A đường 30/4, KP 1, Phường Dương Đông, Thành phố Phú Quốc, Kiên Giang",037 395 99 69,,,
Câu lạc bộ Yoga An Bình,"9 Nguyễn Công Trứ, Phường I, Thành phố Vị Thanh, Hậu Giang",077 613 71 27,,,
Gym Tuấn Anh,"13 Nguyễn Công Trứ, Phường III, Thành phố Vị Thanh, Hậu Giang",094 163 78 79,,,
Gym Khả Hân,", Phường III, Thành phố Vị Thanh, Hậu Giang",093 299 86 42,,,
Phòng Gym Thuận Trần,"298 Nguyễn Thị Minh Khai, Phường 11, Thành phố Cao Lãnh, Đồng Tháp",090 684 35 27,,,
Gym Phương Anh,"42 Trần Thị Nhượng, Phường 4, Thành phố Cao Lãnh, Đồng Tháp",090 368 67 17,,,
G8 Gym - Yoga,"134/15 Ngô Thì Nhậm, cống Rạch Chùa, Phường 1, Thành phố Cao Lãnh, Đồng Tháp",090 684 35 27,,,
Space Gym KonTum,"419 - 423 Đào Duy Từ, Phường Thống Nhất, Thành phố Kon Tum, Kon Tum",0932 567 579,,,
Ba Đình Gym 1,"53 Ba Đình, Phường Thắng Lợi, Thành phố Kon Tum, Kon Tum",0369 360 377,,,
NT5 Fitness & Yoga Center,"235-237 Đống Đa, Phường Quang Trung, Thành phố Kon Tum, Kon Tum",0260 6283 333,,,
CLB Olympic GYM & Fitness,"31 Nguyễn Thái Học, Phường Phú Hội, Thành phố Huế, Thừa Thiên Huế",0777 471 848,,,
Phòng Tập Kingsport Fitness Huế,"Tầng 1 tòa nhà văn phòng, đường số 7, Phường An Cựu, Thành phố Huế, Thừa Thiên Huế",0234 6272 777,,,
Royal Fitness Center,"186A Đinh Tiên Hoàng, Phường Thuận Thành, Thành phố Huế, Thừa Thiên Huế",0977 317 799  - 0962 481 166,,,
Âu Lạc Fitness Center,"150 An Dương Vương, Phường An Cựu, Thành phố Huế, Thừa Thiên Huế",0914 037 227  - 0903 902 798,,,
Infinity Gym & Fitness,"290 Phan Bội Châu, Phường Trường An, Thành phố Huế, Thừa Thiên Huế",0971 513 434  - 0901 530 153,,,
X-GYM Fitness & Zumba,"40 Trương Gia Mô, Phường Vĩ Dạ, Thành phố Huế, Thừa Thiên Huế",0979 999 294  - 0799 757 575,,,
CLB thể hình STU Gym - Thanh Hóa,"Lô 7,8,9 Nguyễn Trãi, Xã Đông Tân, Thành phố Thanh Hóa, Thanh Hóa",0978 078 186 - 0975 695 255,samthuong89@gmail.com,,
Đông Bắc Fitness and Yoga Center - Thanh Hóa,"19 đường Lê Hữu Lập, Phường Lam Sơn, Thành phố Thanh Hóa, Thanh Hóa",0983 107 329,dongbacfitness@gmail.com,,
Phoenix Fitness & Yoga Thanh Hoá,"25 Đại lộ Lê Lợi, Phường Lam Sơn, Thành phố Thanh Hóa, Thanh Hóa",0896 501 888,,,
CLB thể hình Thanh Phương,"87 Hai Bà Trưng, Phường 3, Thị xã Quảng Trị, Quảng Trị",0914 214 027,,,
Captain Fitness Center,"09 Nguyễn Bỉnh Khiêm, Phường 1, Thành phố Đông Hà, Quảng Trị",,,,
Dream Fitness,"02 Đào Duy Anh, Phường Đông Lương, Thành phố Đông Hà, Quảng Trị",0943 720 227,thietgym1995@gmail.com,,
CLB Bluefit,"268 Trần Hưng Đạo, Phường Nghĩa Lộ, Thành phố Quảng Ngãi, Quảng Ngãi",0965 511 115,,,
Saigon Fitness Quảng Ngãi,"10 - 12 đường Cách Mạng Tháng 8, Phường Nghĩa Chánh, Thành phố Quảng Ngãi, Quảng Ngãi",0255 386 0016,fitnesssaigon@gmail.com,,
Thanh Phương Gym Club,"Khu Dân Cư Sơn Tịnh, Phường Trương Quang Trọng, Thành phố Quảng Ngãi, Quảng Ngãi",0905 924 219,lightpowerqn@gmail.com,,
Tuấn Tú Gym & Fitness,"125 đường Trần Hưng Đạo, Thị trấn Hai Riêng, Huyện Sông Hinh, Phú Yên",0914 905 082,,,
Gym Huy Lộc,"220B đường Nguyễn Văn Linh, Phường Phú Lâm, Thành phố Tuy Hoà, Phú Yên",0903 517 554,,,
Châu Tạ Gym - Fitness,"22 đường Hàm Nghi, Phường 2, Thành phố Tuy Hoà, Phú Yên",0766 633 839,,,
Times Plus Fitness & Yoga Pleiku Gia Lai,"53 đường Quang Trung, Phường Hội Thương, Thành phố Pleiku, Gia Lai",0269 9628 8282,,,
NT Center Gia Lai,"55/2A đường Nguyễn Du, Phường Tây Sơn, Thành phố Pleiku, Gia Lai",0269 9386 3588,,,
Gym Hoàng Như,"123 đường Nguyễn Trung Trực, Phường Hội Thương, Thành phố Pleiku, Gia Lai",0978 588 598,,,
Tuấn Toàn Fitness Center,"1A Ngô Sĩ Liên, Phường Tân An, Thành phố Hội An, Quảng Nam",093 546 42 34,,,
Clb Gym Hồng Mỹ,"Thị trấn Núi Thành, Thị trấn Núi Thành, Huyện Núi Thành, Quảng Nam",036 866 9019,,,
Hoàng Dũng Fitness & Kick Boxing Center,"22 Phan Bá Phiến, Phường Tân An, Thành phố Hội An, Quảng Nam",0935 497 579,,,
Active Fitness & Yoga,"Tầng 4 - 60A Hùng Vương, Phường Ba Đồn, Thị xã Ba Đồn, Quảng Bình",0961 874 666,,,
The One Fitness & Yoga Gianh Thúy,"82 Nguyễn Hữu Cảnh, Phường Đồng Phú, Thành Phố Đồng Hới, Quảng Bình",0232 2218 218,,,
Thiên Vương Gym Club,"Trần Phú, Thị trấn Hoàn Lão, Huyện Bố Trạch, Quảng Bình",0905 392 797,,,
Cathay Fitness,"65/1, Hữu Nghị, Phường Đồng Phú, Thành Phố Đồng Hới, Quảng Bình",097 567 65 76,,,
Phòng Tập Thể Hình Bể Bơi Quảng Bình,"Nguyễn Hữu Cảnh, Phường Phú Hải, Thành Phố Đồng Hới, Quảng Bình",0989 849 052,,,
F5 Fitness And Shivom Yoga & Dance,"Đường Tự Đức, Khu Bắc Lê Lợi, Phường Đồng Phú, Thành Phố Đồng Hới, Quảng Bình",0232 3852 222,,,
Lan Anh Center,"27/6 Hai Bà Trưng, Phường 6, Thành phố Đà Lạt, Lâm Đồng",0633 818 636,,,
Phòng Gym Tài Nguyên Đà Lạt,"282 Bùi Thị Xuân, Phường 2, Thành phố Đà Lạt, Lâm Đồng",0263 355 2225,,,
Gym Spa Rosy Đà Lạt,"50 Phù Đổng Thiên Vương, Phường 8, Thành phố Đà Lạt, Lâm Đồng",0901 234 210,,,
Spartan Fitness And Yoga Nha Trang,"Tầng 4, siêu thị Co-op Mart, 124 Lê Hồng Phong, Phường Phước Hải, Thành phố Nha Trang, Khánh Hòa",0899 356 635,,,
Phòng tập Gym Nha Trang của California Fitness & Yoga,"Tầng 4 tòa nhà Nha Trang Center, số 20 đường Trần Phú, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",1800 6995,,,
PT GYM - Phòng Tập Gym Nữ Nha Trang,"Hẻm 141 đường Nguyễn Thị Minh Khai, Phường Phước Hòa, Thành phố Nha Trang, Khánh Hòa",0944 244 242,,,
K Fitness Private Training,"Sth18.18 đường 8e (Đường số 13 rẽ phải vào 8e), Phường Phước Hải, Thành phố Nha Trang, Khánh Hòa",0777 792 123,,,
Power Gym,"144B đường Trần Phú, Phường Nguyễn Du, Thành phố Hà Tĩnh, Hà Tĩnh",0979 373 798,,,
CLB Thể Hình GymStar,"245 đường Vũ Quang, Phường Thạch Linh, Thành phố Hà Tĩnh, Hà Tĩnh",0913 499 469,,,
Diamond - Fitness & Yoga Center,"28 đường Lê Duẩn, Phường Trần Phú, Thành phố Hà Tĩnh, Hà Tĩnh",0239 9351 3838,,,
Gym-Yoga-Zumba BMC Hà Tĩnh,"Tầng 3 tòa nhà BMC, 06 đường Phan Đình Phùng, Phường Nam Hà, Thành phố Hà Tĩnh, Hà Tĩnh",0912 345 267,,,
An Phú Gym Center,"26 Mạc Thị Bưởi, TDP 10, Phường Nghĩa Thành, Thị xã Gia Nghĩa, Đắk Nông",0968 576 787,baoyen120293@gmail.com,,
Phòng tập Gym Center,"Tổ 2 , Phường Nghĩa Đức, Thị xã Gia Nghĩa, Đắk Nông",0261 3121 996,,,
Câu lạc bộ thể hình Anh Gym,"05 đường Đinh Tiên Hoàng, Phường Nghĩa Tân, Thị xã Gia Nghĩa, Đắk Nông",0905 040 293,,,
Phòng tập gym đẹp Tấn Phát Gym & Fitness,"Đường Tôn Đức Thắng, Tổ 1, Phường Nghĩa Trung, Thị xã Gia Nghĩa, Đắk Nông",0859 004 848,,,
Gym BMT Shop,"06 Kpă Púi (Cổng chợ Tân An - Đường Ngô Quyền), Phường Tân An, Thành phố Buôn Ma Thuột, Đắk Lắk",0934 040 046,,,
H2K Shop,"95 Y Ngông, Phường Tân Tiến, Thành phố Buôn Ma Thuột, Đắk Lắk",0975 022 447,,,
Phong Sport,"36 Ama khê, Phường Tân Lập, Thành phố Buôn Ma Thuột, Đắk Lắk",0905 336 225,,,
Hoàng Tiến Sport,"434 Lê Duẩn, Phường Ea Tam, Thành phố Buôn Ma Thuột, Đắk Lắk",0969 691 816,,,
The City Gym,"512 - 514 Nguyễn Tri Phương, Phường Hòa Thuận Tây, Quận Hải Châu, Thành phố Đà Nẵng",0905 404 212,,,
TA Galaxy Fitness & Yoga Center Family,"144 Ông Ích Khiêm, khu Phú Gia Compound, Phường Thanh Bình, Quận Hải Châu, Thành phố Đà Nẵng",0931 972 777,,,
HĐ Fitness Center,"996 Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Thành phố Đà Nẵng",0901 144 177,,,
Trung Tâm Fitness & Yoga Funny,"43 Đỗ Quang, Phường Vĩnh Trung, Quận Thanh Khê, Thành phố Đà Nẵng",0236 3525626,,,
California Fitness & Yoga tại Đà Nẵng,"Tòa Nhà Bưu Điện Thành Phố, Tầng 3, 271 Nguyễn Văn Linh, Phường Vĩnh Trung, Quận Thanh Khê, Thành phố Đà Nẵng",0236 3538 999,,,
Quốc Thi Fitness and Yoga,"72 Hàm Nghi, Tầng 2, Căn Hộ HAGL, Phường Chính Gián, Quận Thanh Khê, Thành phố Đà Nẵng",0903 533 913,,,
Gym Fitness Mũi Né,"89 Huỳnh Tấn Phát, Phường Mũi Né, Thành phố Phan Thiết, Bình Thuận",0252 6505 899,,,
S Fitness Phan Thiết,"24 Lê Quý Đôn, Phường Phú Thủy, Thành phố Phan Thiết, Bình Thuận",0252 6277 799,,,
Câu Lạc Bộ Gym – Fitness,"485 Cách Mạng Tháng Tám, Thị trấn Võ Xu, Huyện Đức Linh, Bình Thuận",093 354 22 45,,,
"CLB thể hình Thành Thái, Bạc Liêu","Nguyễn Thái Học, Phường 1, Thành phố Bạc Liêu, Bạc Liêu",090 968 46 85,,,
Gym Hợp Phố,"Long Điền, Xã Long Điền Đông A, Huyện Đông Hải, Bạc Liêu",094 927 07 60,,,
Trung tâm thể dục thể thao thành phố Bạc Liêu,"số 546, đường Võ Thị Sáu, Phường 3, Thành phố Bạc Liêu, Bạc Liêu",0291 781 382 21 63,,,
Cana Gym,"22 Lý Thường Kiệt, Phường Long Hoa, Huyện Hòa Thành, Tây Ninh",091 930 92 48,,,
Best Gym,"753/7 Phạm Hữu Lầu, Phường 6, Thành phố Cao Lãnh, Đồng Tháp",098 951 55 14/ 097 155 52 49,,,
Gym Café,"M39-40, Tôn Đức Thắng, Phường Xuân An, Thành phố Phan Thiết, Bình Thuận",096 660 03 93,,,
Melia Ba Vi Mountain Retreat,"Cote 600, Vườn quốc gia Ba Vì,, Xã Minh Quang, Huyện Ba Vì, Thành phố Hà Nội",024 3200 9999,info@meliabavimountain.com,https://www.melia.com/vi/hotels/vietnam/hanoi/melia-ba-vi-mountain-retreat/index.htm,
Trung tâm Thể Thao Italy Sport Vinh Nghệ An,"10 Nguyễn Tài, Phường Hưng Bình, Thành phố Vinh, Nghệ An",0904979662,,,
X-GYM Fitness,"59 Đinh Lễ, Phường Hưng Dũng, Thành phố Vinh, Nghệ An",,,,
"Trung Tâm Huấn Luyện Và Thi Đấu Thể Dục, Thể Thao Nghệ An","06 Đào Tấn, khối 3, Phường Trường Thi, Thành phố Vinh, Nghệ An",,,,
CLB Gym & Fitness Tuyết Vi Ninh Thuận,"287 Yết Kiêu, Phường Phủ Hà, Thành phố Phan Rang-Tháp Chàm, Ninh Thuận",094 168 88 18,,,
CLB Tâm Thể Mỹ Yoga Phan Rang - Ninh Thuận,"11 Phạm Hồng Thái, Phường Mỹ Hương, Thành phố Phan Rang-Tháp Chàm, Ninh Thuận",093 738 2557,,,
Trung tâm Huấn luyện và Thi đấu Thể thao,"122, Đường Hai Mươi Tháng Tám, Phường Phước Mỹ, Thành phố Phan Rang-Tháp Chàm, Ninh Thuận",0259 3823 527,,,
Câu lạc bộ VVTD JET Martial Arts & Fitness,"814 Trần Hưng Đạo, Phường Đống Đa, Thành phố Qui Nhơn, Bình Định",0775 499 747,,,
Devi Yoga,"105F Hai Bà Trưng, Phường Lê Lợi, Thành phố Qui Nhơn, Bình Định",0256 3818 333,,,
Forever Young Yoga & Fitness,"Lô DC2, 21 Đ. Trần Đăng Phong, Phường Nguyễn Văn Cừ, Thành phố Qui Nhơn, Bình Định",090 359 44 59,,,
Trung Tâm Thể Dục Thể Thao Tỉnh Bình Định,"236 B Lê Hồng Phong, Phường Lê Hồng Phong, Thành phố Qui Nhơn, Bình Định",0256 3818 773,,,
