Thuê xe Chị Giàu,"133/5 Khóm 1, Phường 1, Thành phố Bạc Liêu, Bạc Liêu",090 635 31 52,,,
Cửa hàng cho thuê xe Nguyên Vũ,"Số 58A, Đường Cao Thắng, Phường Bình Khánh, Thành phố Long Xuyên, An Giang",0296 02963 859 242,,,
Taxi Long Xuyên,"1990 Trần Hưng Đạo, Phường Mỹ Quý, Thành phố Long Xuyên, An Giang",0296 0901 21 77 72,taxilongxuyenag.com,,Website: taxilongxuyenag.com
CT TNHH MỘT THÀNH VIÊN PUOLO TRIP,"T35 Đông Thạnh, Phường Mỹ Thạnh, Thành phố Long Xuyên, An Giang","0296 038 988 11 33, 076 833 11 33",puolotrip.com,EMAIL: ADMIN@PUOLOTRIP.COM,
Đăng Khoa,"128 Lý Thái Tổ, Phường Mỹ Long, Thành phố Long Xuyên, An Giang",0296 0941 550 180,,,
Xe Ngọc Cường,"Cầu sắt Tịnh Thiện, Xã Tịnh Thiện, Thành phố Quảng Ngãi, Quảng Ngãi",0905 566 037 - 0905 646 363,https://xengoccuong.com/,cuong6567@gmail.com,Website: https://xengoccuong.com/
Thuê xe Quảng Ngãi - Dịch vụ Du lịch Thiên Ngọc,"Hồ Qúy Ly, Xã Nghĩa Dõng, Thành phố Quảng Ngãi, Quảng Ngãi",0937 572 878,https://thuexethienngoc.business.site/,,Website: https://thuexethienngoc.business.site/
Công ty TNHH MTV Phú Tài Đạt,"179 Hai Bà Trưng, Phường Trần Phú, Thành phố Quảng Ngãi, Quảng Ngãi","0255 727 379 /717 444, 0978 011 744 – 0914 317 344",https://thuexequangngai.vn/,phutaidat.chothuexe@gmail.com,
Thuê xe Long Xuyên,"8 Trần Bình Trọng, Phường Mỹ Xuyên, Thành phố Long Xuyên, An Giang",0296 091 837 51 20,,,
Công ty TNHH vận tải hành khách Ba Khanh,"52 Hai Bà Trưng, Phường Lê Hồng Phong, Thành phố Quảng Ngãi, Quảng Ngãi",0931 964 779,,,
"Dịch vụ thuê xe 4 chỗ, 7 chỗ fpt123","204A QL1A, Xã Long Thạnh, Huyện Vĩnh Lợi, Bạc Liêu","0291 096 424 01 23, 094 189 81 23",https://fpt123.net/thue-xe-bac-lieu/dich-vu-thue-xe-4-cho-7-cho-tai-bac-lieu.html#,,Website: https://fpt123.net/thue-xe-bac-lieu/dich-vu-thue-xe-4-cho-7-cho-tai-bac-lieu.html#
Thuê xe Huỳnh Gia,"34/169 Cao Văn Lầu, Phường 2, Thành phố Bạc Liêu, Bạc Liêu",089 947 33 33,thuexehuynhgia.com,thuexehuynhgia@gmail.com,Website: thuexehuynhgia.com
Du Lịch Thùy Dương,"ấp Phước Hòa Tiền, Thị trấn Phước Long, Huyện Phước Long, Bạc Liêu",091 500 42 25,,,
Công ty Hợp Nhất Năng Động,"Số 23, Lô 5, Đường Lê Đại Hành, Khóm 2, Phường 7, Thành phố Bạc Liêu, Bạc Liêu","0291 094 906 93 33, 098 209 81 99",thuexebaclieu.vn,hungsgbl@yahoo.com.vn,
Thuê xe Anh Hùng,"Số 23, Đường Lê Đại Hành, Phường 1, Thành phố Bạc Liêu, Bạc Liêu","0291 094 906 93 33, 098 209 81 99",,,
Công ty TNHH Chín Nghĩa,"06 Hà Huy Tập, Phường Nghĩa Chánh, Thành phố Quảng Ngãi, Quảng Ngãi",0255 3820 820,http://chinnghia.com.vn,dichvuthuexechinnghia@gmail.com,Website:  http://chinnghia.com.vn
Công ty TNHH Vận tải và Du lịch Lê Huyên,"Số 58 Nguyễn Trãi, Phường 4, Thành phố Tuy Hoà, Phú Yên",0984 499 104 -  0913 595 438,https://www.xedulichlehuyen.com/,xedulichlehuyen@gmail.com,Website: https://www.xedulichlehuyen.com/
Công ty TNHH Vận tải- Du lịch Lê Đang,"SH 54, Apec Mandala Wyndham, Phường 7, Thành phố Tuy Hoà, Phú Yên",0935 456 567 - 0985 186 188,https://www.xedulichphuyen.com/,Xeledang@gmail.com - Ledang7943@gmail.com - Nhaxeledang@gmail.com - Bookingxeledang@gmail.com,Website: https://www.xedulichphuyen.com/
Công ty TNHH Vận tải Du lịch Tuấn Anh,"Số 437 Trần Phú, Phường Thạch Linh, Thành phố Hà Tĩnh, Hà Tĩnh",0941 461 999,http://thuexedulichhatinh.com/,dulichtuananh06@gmail.com,Website: http://thuexedulichhatinh.com/
Công ty CP Vận tải Du lịch Hà Tĩnh,"Số nhà 44 đường Phú Hào, Phường Hà Huy Tập, Thành phố Hà Tĩnh, Hà Tĩnh",0393 682 268 - 0975 887 788,https://thuexehatinh.com/,chothuexehatinh@gmail.com,Website: https://thuexehatinh.com/
Công ty TNHH Xe Hà Tĩnh,"Số 06, Phan Đình Phùng, Phường Nam Hà, Thành phố Hà Tĩnh, Hà Tĩnh",0379 468 468,https://xehatinh.com.vn/,Xehatinh.com.vn@gmail.com,Website: https://xehatinh.com.vn/
Công ty TNHH Vận tải Du lịch Thanh Hoan,"Số 38/223 Hẻm 2 đường Trần Hưng Đạo, Phường Cửa Nam, Thành phố Vinh, Nghệ An","0238 0238 3854 116, 0913 599 455 - 0912 574 480",,dntnthanhhoan123@gmail.com,
Công ty TNHH Dịch vụ vận tải lữ hành Quốc tế Việt Nam,"Số 9/20 Nguyễn Đức Cảnh, Phường Hưng Bình, Thành phố Vinh, Nghệ An","0238 0238 3596 598, 0988 085 378",http://thuexenghean.vn/,chothuexenghean@gmail.com,Website: http://thuexenghean.vn/
Công ty Du lịch Đất Việt,"Số 75 Trần Quang Khải, Phường Hà Huy Tập, Thành phố Vinh, Nghệ An",0904 889 857 - 0962 605 157,http://thuexenghean.vn/,datviet.tours@gmail.com,Website: http://thuexenghean.vn/
Công ty TNHH Dịch vụ Vận tải Nguyễn Trần,"01/100, Vệ Đà, Phường Quảng Thắng, Thành phố Thanh Hóa, Thanh Hóa",0978 943 488,,,
Công ty THHH Vận tải Du lịch Thành Vinh,"Số 4/43 Đường Cửa Hữu, Phố Nam Thành, Phường Tân Sơn, Thành phố Thanh Hóa, Thanh Hóa",0915 142 737 - 0973 397 440,http://thuexethanhhoa.net,thuexethanhvinh@gmail.com,Website: http://thuexethanhhoa.net
Công ty TNHH Vận tải Du lịch & Thương mại Vĩnh Quang,"143 Lê Hồng Phong, Phường Điện Biên, Thành phố Thanh Hóa, Thanh Hóa",0237 0237 3854 346,,,
Thuê xe máy Thảo Vy,"Lô A 13, KQH Nguyễn Khuyến, Phường 5, Thành phố Đà Lạt, Lâm Đồng","0263 02633 988 699, 0919 331 288",https://thuexemaydalatgiare.com/,namhainguyen1984@yahoo.com,Website: https://thuexemaydalatgiare.com/
Nhà xe Thành,"436 Hai Bà Trưng, Phường 6, Thành phố Đà Lạt, Lâm Đồng",0947 336 999,https://thuexe7chodalat.com/,,Website: https://thuexe7chodalat.com/
Công ty TNHH Du lịch Trung Thành Đà Lạt,"05 Yersin, Phường 10, Thành phố Đà Lạt, Lâm Đồng",0935 321 679 / 0918 638 068,http://www.trungthanhdalat.com/,,Website: http://www.trungthanhdalat.com/
Công ty TNHH Dịch vụ Vận tải và Du lịch mở Đà Lạt,"27/5 Thiện Ý , Phường 4, Thành phố Đà Lạt, Lâm Đồng","0263 02633 755 536, 0918 313 696",https://www.dalatopentours.com/,sales@dalattravel.info,Website: https://www.dalatopentours.com/
Thuê xe máy Hồng Dương,"Số 26 đường Bạch Liêu - Khối 6, Phường Bến Thủy, Thành phố Vinh, Nghệ An",0971 511 777 - 0979 662 736,http://thuexemayovinh.com/,hongduong8475@gmail.com,Website: http://thuexemayovinh.com/
Công ty TNHH Vận tải & Dịch vụ du lịch Ánh Vinh,"21 đường Lê Lợi, Phường Lê Lợi, Thành phố Vinh, Nghệ An",0979 797 426 - 0911 871 973,http://xethuenghean.com/,congtytnhhanhvinh@gmail.com,Website: http://xethuenghean.com/
Bùi Gia Travel,"29/A2 KDC Thương mại và Dịch vụ Lại An, Phường Xuân An, Thành phố Phan Thiết, Bình Thuận","0252 02523 699 799, 0918 187 646",http://dulichmuinephanthiet.com/,buigia123travel@gmail.com,Website: http://dulichmuinephanthiet.com/
Thuê xe máy Hoàng Hiếu,"101 Hùng Vương, Phường Phú Thủy, Thành phố Phan Thiết, Bình Thuận",0933 715 692,https://www.muinetravel.com.vn/vn/thue-xe-may-phan-thiet,chothuexephanthietmuine@gmail.com,Website: https://www.muinetravel.com.vn/vn/thue-xe-may-phan-thiet
Công ty TNHH Du lịch & Thương mại Nguyễn An,"116B Nguyễn Đình Chiểu, Phường Hàm Tiến, Thành phố Phan Thiết, Bình Thuận",0378 547 968,https://xedulichmuine.vn/,annguyen187@gmail.com,Website: https://xedulichmuine.vn/
Công ty Du lịch Bảo Toàn,"18 Phạm Hồng Thái, Phường Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế",0833 146 868,https://dulichbaotoan.com/,xedulichbaotoan@gmail.com,Website: https://dulichbaotoan.com/
Xe dịch vụ du lịch Huế,"27 Hoàng Quốc Việt, Phường An Đông, Thành phố Huế, Thừa Thiên Huế",0911 345 797,https://xedichvudulichhue.com/,hoangcongtrung0805@gmail.com,Website: https://xedichvudulichhue.com/
Cho thuê xe máy khách sạn Hậu Giang,"18 Hải Thượng Lãn Ông, Phường I, Thành phố Vị Thanh, Hậu Giang",0293 3581 806,www.khachsanhaugiang.vn,info@khachsanhaugiang.vn,Website: www.khachsanhaugiang.vn
Dịch vụ cho thuê xe du lịch Việt Nghĩa,"23, Tổ 11, Khóm 2, Phường 11, Thành phố Cao Lãnh, Đồng Tháp",091 920 20 35,,,
Trung tâm dịch vụ Thuyền Rồng Ca Huế Hoàng Phương,"4/127 Đặng Huy Trứ (Bến thuyền Tòa Khâm - 49 Lê Lợi - Huế), Phường Trường An, Thành phố Huế, Thừa Thiên Huế",0934 579 759,https://datvecahue.com/,,Website: https://datvecahue.com/
Dịch vụ Du lịch Thái Hòa,"Cách Mạng Tháng 8, Phường 3, Thành phố Cao Lãnh, Đồng Tháp",0277 3853 250,,,
Đồng xanh Motorbike,"201 Trần Phú, Phường Phước Vĩnh, Thành phố Huế, Thừa Thiên Huế",0787 528  677,https://dongxanhmotorbikes.com/,info@dongxanhmotorbike.com,Website: https://dongxanhmotorbikes.com/
Thuê xe tại Tam Kỳ,"Ngã tư Lý Thường Kiệt – Lê Lợi, Phường An Mỹ, Thành phố Tam Kỳ, Quảng Nam",0963 013 011,https://thuexe.tamky.net/,dothanhtra.khcl@gmail.com,Website: https://thuexe.tamky.net/
Thuê xe du lịch Đà Nẵng ( Danang Transfer),"Lô 68 B1.94 Khu đô thị sinh thái Hòa Xuân, Phường Hòa Xuân, Quận Cẩm Lệ, Thành phố Đà Nẵng",0853 5555 93 - 0905 442 279,https://danangtransfer.vn/,danangtransfer.co@gmail.com,Website: https://danangtransfer.vn/
Công ty Cổ phần Phú Mỹ Phát,"495 Nguyễn Hữu Thọ, Phường Khuê Trung, Quận Cẩm Lệ, Thành phố Đà Nẵng",0905 627 627 - 0977 627 627,https://phumyphat.com/,info@phumyphat.com,Website: https://phumyphat.com/
Công ty TNHH Hùng Kin,"38 Ngọc Hồi, Phường Hòa Minh, Quận Liên Chiểu, Thành phố Đà Nẵng",0914 222 029 - 0914 177 125,https://thuexeotodanang.vn/,hungkincompany@gmail.com - sales.hungkin@gmail.com,Website: https://thuexeotodanang.vn/
Công ty CP Thương mại Vận tải và Du lịch Hồng Đa,"32 Đỗ Thúc Tịnh, Phường Khuê Trung, Quận Cẩm Lệ, Thành phố Đà Nẵng",0905 857 257,https://thuexemientrung.vn/,hongdatravel@gmail.com,Website: https://thuexemientrung.vn/
Nhà xe Thần Tài,"số 829 Cách mạng tháng 8, Phường Hiệp Ninh, Thành phố Tây Ninh, Tây Ninh",090 985 57 39,,,
Du lịch Thu Huyền,"Tổ 1, Ấp Suối Muồn, Xã Thái Bình, Huyện Châu Thành, Tây Ninh",093 335 58 23,,,
Cho thuê xe ô tô Minh Nhật,"Khu phố Ninh Phước, Phường Ninh Thạnh, Thành phố Tây Ninh, Tây Ninh",097 766 94 11,,,
Thuê xe Cam Ranh,"79 Phan Bội Châu, Phường Cam Phú, Thành phố Cam Ranh, Khánh Hòa",0944 920 022,https://thuexemaycamranh.com/,info@chothuexemaycamranh.com,Website: https://thuexemaycamranh.com/
Xe Du lịch Ninh Hòa,"Chợ Dinh, Phường Ninh Hiệp, Thị xã Ninh Hòa, Khánh Hòa",0379 322 262,http://www.xedulichninhhoa.com/,nguyenkhang06111994@gmail.com,
Xe du lịch Gia Huy,"Vĩnh Lương, Xã Vĩnh Lương, Thành phố Nha Trang, Khánh Hòa",0935 373 577- 0987 402 160,http://www.xedulichgiahuy.com,xedulichgiahuy79@gmail.com,
Công ty TNHH MTV Thương mại Dịch vụ Vận tải và Du lịch MINH CANG,"37 Trường Chinh, Phường Chánh Lộ, Thành phố Quảng Ngãi, Quảng Ngãi",0909 139 159 – 0919 384 329,https://dichvuthuexequangngai.com/,,
Vé tàu đảo Lý Sơn,"209 Trường Chinh, Phường Chánh Lộ, Thành phố Quảng Ngãi, Quảng Ngãi",0905 526 374,https://vetaudaolyson.com/,hanhtran.bsc@gmail.com,
Du lịch Trọng Tuyến,"217 Nguyễn Thị Định, Khu phố 5, Phường Phú Lâm, Thành phố Tuy Hoà, Phú Yên",0937 337 761,https://dulichtrongtuyen.com/,anhthuy5392@gmail.com,
Taxi Long Sơn Tây Ninh,"711A Bời Lời, Ninh An, Phường Ninh Sơn, Thành phố Tây Ninh, Tây Ninh",0276 3636 364,taxilongson.com,,
Công ty TNHH TMVT và Du lịch Hồng Trang,"180 Tân Trào, Xã Bình Kiến, Thành phố Tuy Hoà, Phú Yên",0968 248 399/ 0982 293 884,https://www.thuexedulichphuyen.com/2019/07/cho-thue-xe-du-lich-tinh-phu-yen.html,travelhongtrang@gmail.com,
Công ty TNHH MTV Lý Anh Tuấn,"337 Nguyễn Huệ, Phường 5, Thành phố Tuy Hoà, Phú Yên","0257 3816 816, 0935 969 969",http://thuexeanhtuanphuyen.com/,thuy.lyanhtuan@gmail.com,
Công Ty Duy Anh,"2/50 Đinh Tiên Hoàng, Phường Thới Bình, Quận Ninh Kiều, Thành phố Cần Thơ",,,,
Thuê xe máy FLC Nhơn Lý Thanh Hương,"Thôn Lý Chánh, Xã Nhơn Lý, Thành phố Qui Nhơn, Bình Định",0939 565 489,https://chothuexemaynhonlyflc.com/,michealduoc91@gmail.com,
Quang Khải - Cho thuê xe Quy Nhơn,"20 Võ Trọng Lo, Phường Nhơn Bình, Thành phố Qui Nhơn, Bình Định",0911 687 061,https://quangkhai.com/,Hotroquangkhai@gmail.com,
Công ty TNHH Dịch vụ Vận tải Danh Loan,"Thôn Huỳnh Mai, Xã Phước Nghĩa, Huyện Tuy Phước, Bình Định",0934 762 369,http://www.thuexedulichdanhloan.com/,thuexedulichdanhloan@gmail.com,
Công ty TNHH Dịch vụ và Du lịch Lộc Phát,"Lô 19-A6 Khu ĐTC Núi Mồ Côi, Phường Nhơn Phú, Thành phố Qui Nhơn, Bình Định",0707 49 69 99 –  0707 49 79 99 – 0707 49 89 99,https://quangcaotructuyen24h.vn/cho-thue-xe-quy-nhon-loc-phat/,,
Dịch vụ cho thuê xe Kim Loan,"70 Nguyễn Trãi, Phường 1, Thành phố Tây Ninh, Tây Ninh",,,,
Thuê xe tự lái An Nhiên,"270 Vạn Thọ, Xã Mỹ Tân, Thành phố Cao Lãnh, Đồng Tháp",090 400 07 04,,,
