Tên cơ sở,Địa chỉ,Điện thoại,Fax,Email,Website
Bãi tắm Quảng Hồng,"Khu Nam Sơn 2, Phường Cẩm Sơn, thành phố Cẩm Phả , Phường Cẩm Sơn, Thành phố Cẩm Phả, Quảng Ninh",,,,
Trung tâm Khoáng nóng Địa chất,"Ngõ 604 Trần Phú,Phường Cẩm Thạch, Phường Cẩm Thạch, Thành phố Cẩm Phả, Quảng Ninh",,,,
Khu di tích lịch sử - Văn hóa Đền Cửa Ông,"Phường Cửa Ông, Phường Cửa Ông, Thành phố Cẩm Phả, Quảng Ninh",,,,
Khu di tích lịch sử và Danh thắng Vũng Đục,"Khu Diêm Thủy, phường Cẩm Đông, Phường Cẩm Đông, Thành phố Cẩm Phả, Quảng Ninh",,,,
Quảng Ninh Gate,"Thôn Tâ xã Bình Dương, thị xã Đông Triều, Xã Bình Dương, Thị xã Đông Triều, Quảng Ninh",,,,
Công viên Hà Lan,"Khu Vĩnh Xuân phường Mạo Khê, Phường Mạo Khê, Thị xã Đông Triều, Quảng Ninh",,,,
Hồ Khe Chè,"Thôn Ba Xã, xã An Sinh, Xã An Sinh, Thị xã Đông Triều, Quảng Ninh",,,,
Làng quê Yên Đức,"Thôn Yên Khánh, xã Yên Đức, Xã Yên Đức, Thị xã Đông Triều, Quảng Ninh",,,,
Cụm di tích lịch sử cách mạng khu mỏ than Mạo Khê,"Khu Vĩnh Lập, phường Mạo Khê,, Phường Mạo Khê, Thị xã Đông Triều, Quảng Ninh",,,,
Trung tâm chiến khu Đông Triều - chùa Bắc Mã,"Thôn Bắc Mã, xã Bình Dương, Xã Bình Dương, Thị xã Đông Triều, Quảng Ninh",,,,
Chùa Hồ Thiên,"Thôn Phú Ninh, xã Bình Khê, thị xã Đông Triều, Xã Bình Khê, Thị xã Đông Triều, Quảng Ninh",,,,
Chùa Quỳnh Lâm,"phường Tràng An, Phường Tràng An, Thị xã Đông Triều, Quảng Ninh",,,,
Đền Thái,"Thôn Trại Lốc, xã An Sinh, Xã An Sinh, Thị xã Đông Triều, Quảng Ninh",,,,
Đền An Sinh,"Thôn Nghĩa Hưng, xã An Sinh, thị xã Đông Triều, Xã An Sinh, Thị xã Đông Triều, Quảng Ninh",,,,
Chợ Rừng,"Phường Quảng Yên, Phường Quảng Yên, Thị xã Quảng Yên, Quảng Ninh",,,,
Làng nghề truyền thống Hưng Học,"phường Nam Hòa, Phường Nam Hoà, Thị xã Quảng Yên, Quảng Ninh",,,,
Thác Mơ,"Khu Lâm Sinh 2,Phường Minh Thành, Phường Minh Thành, Thị xã Quảng Yên, Quảng Ninh",,,,
Chùa Yên Mỹ,"xã Lê Lợi, thành phố Hạ Long, Xã Lê Lợi, Thành phố Hạ Long, Quảng Ninh",,,,
Đền thờ Tiến sỹ Vũ Phi Hổ,"xã Lê Lợi, thành phố Hạ Long, Xã Lê Lợi, Thành phố Hạ Long, Quảng Ninh",,,,
Đền thờ Vua Lê Thái Tổ,"xã Lê Lợi, thành phố Hạ Long, Xã Lê Lợi, Thành phố Hạ Long, Quảng Ninh",,,,
Miếu Tiên Công,"Thôn Cẩm Thành, xã Cẩm La xã Cẩm La, Xã Cẩm La, Thị xã Quảng Yên, Quảng Ninh",,,,
Chùa Yên Giang,"Khu 2, phường Yên Giang, Phường Yên Giang, Thị xã Quảng Yên, Quảng Ninh",,,,
"Đình, chùa Yên Đông","Khu 3, phường Yên Hải, thị xã Quảng Yên, Phường Yên Hải, Thị xã Quảng Yên, Quảng Ninh",,,,
Nhà thờ họ Lê,"Khu 5, phường Phong Cốc, thị xã Quảng Yên, Phường Phong Cốc, Thị xã Quảng Yên, Quảng Ninh",,,,
Đình Phong Cốc,"Khu 4, phường Phong Cốc, thị xã Quảng Yên, Phường Phong Cốc, Thị xã Quảng Yên, Quảng Ninh",,,,
Hai cây Lim Giếng Rừng,"Khu 5, phường Quảng Yên, thị xã Quảng Yên, Phường Quảng Yên, Thị xã Quảng Yên, Quảng Ninh",,,,
Bảo tàng Bạch Đằng,"Khu 5, phường Quảng Yên, thị xã Quảng Yên, Phường Quảng Yên, Thị xã Quảng Yên, Quảng Ninh",,,,
Khu trung tâm di tích lịch sử Bạch Đằng,"Khu 6, phường Yên Giang, Phường Yên Giang, Thị xã Quảng Yên, Quảng Ninh",,,,
Quần thể danh lam thắng cảnh Núi Mằn,"xã Thống Nhất, thành phố Hạ Long, Xã Thống Nhất, Thành phố Hạ Long, Quảng Ninh",,,,
Khu bảo tồn bản văn hóa người Dao Thanh Y Bằng Cả,"Thôn 2 (thôn Chín Gian), xã Bằng Cả, Xã Bằng Cả, Thành phố Hạ Long, Quảng Ninh",,,,
Thiên đường hoa Quảng La,"xã Quảng La, thành phố Hạ Long, Xã Quảng La, Thành phố Hạ Long, Quảng Ninh",,,,
"Đại Yên Plaza, Vụng Cặp Táo","vịnh Hạ Long, thành phố Hạ Long, Thành phố Hạ Long, Quảng Ninh",,,,
Cung Quy hoạch và Hội chợ triển lãm tỉnh Quảng Ninh,"phường Hồng Hải, thành phố Hạ Long, Phường Hồng Hải, Thành phố Hạ Long, Quảng Ninh",,,,
Vụng Tùng Sâu,"vịnh Hạ Long, thành phố Hạ Long, Thành phố Hạ Long, Quảng Ninh",,,,
Cụm di tích Chùa Lôi Âm và Hồ Yên Lập,"Phường Đại Yên, tp Hạ Long, Phường Đại Yên, Thành phố Hạ Long, Quảng Ninh",,,,
Đền Cái Lân,"Phường Bãi Cháy, thành phố Hạ Long, Phường Bãi Cháy, Thành phố Hạ Long, Quảng Ninh",,,,
Trung tâm Mỹ Ngọc - Công ty CP Ngọc trai Hạ Long,"Phường Hà Khẩu, thành phố Hạ Long, Phường Hà Khẩu, Thành phố Hạ Long, Quảng Ninh",,,,
Trung tâm thương mại Marine Plaza,"Phường Hùng Thắng, thành phố Hạ Long, Phường Hùng Thắng, Thành phố Hạ Long, Quảng Ninh",,,,
Trung tâm Thương mại Vincom Hạ Long center,"Phường Bạch Đằng, thành phố Hạ Long, Phường Bạch Đằng, Thành phố Hạ Long, Quảng Ninh",,,,
Chợ Hạ Long 1,"Phường Hồng Gai, thành phố Hạ Long, Phường Hồng Gai, Thành phố Hạ Long, Quảng Ninh",,,,
Bảo tàng - Thư viện tỉnh - Quảng trường 30/10,"phường Hồng Hải, thành phố Hạ Long, Phường Hồng Hải, Thành phố Hạ Long, Quảng Ninh",,,,
Công viên Hạ Long,"Phường Bạch Đằng, thành phố Hạ Long, Phường Bạch Đằng, Thành phố Hạ Long, Quảng Ninh",0982139888,,,
Nhà thờ Hòn Gai,"phường Bạch Đằng, thành phố Hạ Long, Phường Bạch Đằng, Thành phố Hạ Long, Quảng Ninh",,,,
Chùa Long Tiên,"Phường Bạch Đằng, thành phố Hạ Long, Phường Bạch Đằng, Thành phố Hạ Long, Quảng Ninh",0973311888,,,
Trung tâm Văn hóa Núi Bài Thơ và Đền thờ Đức ông Trần Quốc Nghiễn,"Phường Hồng Gai, thành phố Hạ Long, Phường Hồng Gai, Thành phố Hạ Long, Quảng Ninh",0913578538,,,
Chùa Ba Vàng,"tổ 17, khu 5, phường Quang Trung, thành phố Uông Bí, Phường Quang Trung, Thành phố Uông Bí, Quảng Ninh",0203 0203.6557799,,,
Thác Lựng Xanh,"Phường Quang Trung, Phường Quang Trung, Thành phố Uông Bí, Quảng Ninh",0203 0203.3665530,,,
Chùa Phổ Am,"Phường Bắc Sơn, Phường Bắc Sơn, Thành phố Uông Bí, Quảng Ninh",0203 0203.3854421,,,
Đình Đền Công - chùa Long Khánh - miếu Cổ Linh,"khu Đền Công 2, phường Trưng Vương, thành phố Uông Bí, Phường Trưng Vương, Thành phố Uông Bí, Quảng Ninh",0203 0203.3566965,,,
Di tích danh thắng Yên Tử,"Xã Thượng Yên Công và phường Phương Đông, Xã Thượng Yên Công, Thành phố Uông Bí, Quảng Ninh",0203 02033.854.153,,,
Văn Miếu - Quốc Tử Giám,"58 Quốc Tử Giám, Phường Quốc Tử Giám, Quận Đống Đa, Thành phố Hà Nội",024 3845 2917,024  3747 2566,info@vanmieu.vn,http://vanmieu.gov.vn
Vườn Dâu Tằm Mỹ Khánh ở An Giang,"Võ Văn Hoài, Ấp Bình Hòa 2, Xã Mỹ Khánh, Thành phố Long Xuyên, An Giang",,,,
Du lịch sinh thái Rừng tràm Tân Tuyến,"Tân Tuyến, Xã Tân Tuyến, Huyện Tri Tôn, An Giang",0296 094 998 17 20,,,
Vườn trái cây Gò Chùa,"22B, Gò Dầu, Thị trấn Gò Dầu, Huyện Gò Dầu, Tây Ninh",0276 0834 983 210,,,
Tháp cổ Bình Thạnh,"ĐT786, Phường Trảng Bàng, Huyện Trảng Bàng, Tây Ninh",,,,
Công viên nước Thanh Lễ,"Đại lộ Bình Dương, Phường Hiệp Thành, Thành phố Thủ Dầu Một, Bình Dương",0274 096 890 80 86,,,
Khu du lịch làng cổ Phước Lộc Thọ,"67A Tỉnh lộ 824, ấp 2, Xã Hựu Thạnh, Huyện Đức Hòa, Long An",0272 3765 567/ 091 829 29 49,,info@langcophuocloctho.vn,www.langcophuocloctho.vn
Quán Café Gió & Nước Bình Dương,"6/28T Trần Bình Trọng, Phường Phú Thọ, Thành phố Thủ Dầu Một, Bình Dương",0274 091 372 02 11,,lienhe@giovanuoc.vn,www.giovanuoc.vn
Cụm du lịch hồ Dầu Tiếng,"Xã Định Thành, Huyện Dầu Tiếng, Xã Định Thành, Huyện Dầu Tiếng, Bình Dương",,,,
Khu Du Lịch Thủy Châu,"55 DT743C Phường Bình Thắng, TP. Dĩ An,, Phường Bình Thắng, Thị xã Dĩ An, Bình Dương",0274 0965 10 15 10,,,thuychauecopark.vn
Làng Tre Phú An,"124 ĐT744, Phú An, Xã Phú An, Thị xã Bến Cát, Bình Dương",0274 3580 717,,,
Hàng cau vua Tân Trụ,"Đường Ông Đồ Nghị, Thị trấn Tân Trụ, Huyện Tân Trụ, Long An",0272 089 847 58 00,,,
Khu du lịch Cánh Đồng Bất Tận,"Ấp 3, Thị trấn Bình Phong Thạnh, Huyện Mộc Hóa, Long An",0272 091 141 60 68,,canhdongbattan1983@gmail.com,
Làng nổi Tân Lập,"Quốc lộ 62, Xã Tân Lập, Huyện Mộc Hóa, Long An",0272 3968 133,,,
Khu Lưu Niệm Nhạc Sĩ Cao Văn Lầu,"Đường Ninh Bình, phường 2, thành phố Bạc Liêu, Phường 2, Thành phố Bạc Liêu, Bạc Liêu",0291 3829 966,,,
Vườn chim Bạc Liêu,"Đường Cao Văn Lầu, , Phường Nhà Mát, Thành phố Bạc Liêu, Bạc Liêu",0291 3835 991,,,
Khu du lịch Nhà Mát,", Bạc Liêu",,,,
Tháp Chóp Mạt,"ấp Xóm Mới, Xã Tân Phong, Huyện Tân Biên, Tây Ninh",,,,
Tham quan căn cứ trung ương cục miền Nam,"P2RQ+H55, Xã Tân Lập, Huyện Tân Biên, Tây Ninh",,,,
Khu vui chơi giải trí Sala,"145 Chánh Môn A, Phường 4, Thành phố Tây Ninh, Tây Ninh",0276 0848 646 566,,,
Khu du lịch Ma Thiên Lãnh,", Xã Thạnh Tân, Thành phố Tây Ninh, Tây Ninh",,,,
Khu du lịch Long Điền Sơn,"Đường số 08 Trần Phú, Phường Ninh Sơn, Thành phố Tây Ninh, Tây Ninh",0276 0919075792,,longdienson@gmail.com,
Di tích lịch sử văn hóa chiến thắng Tua Hai,"ấp Tua Hai, Xã Đồng Khởi, Huyện Châu Thành, Tây Ninh",,,,
Cồn Phú Đa,"xã Vĩnh Bình, huyện Chợ Lách, Huyện Chợ Lách, Bến Tre",,,,
Khu du lịch Làng bè,"81b/6b ấp Mỹ An, Xã An Khánh, Huyện Châu Thành, Bến Tre",0275 094 727 88 22,,dulichlangbe@gmail.com,langbe.vn
Khu du lịch Lan Vương,"tỉnh lộ 887 thuộc Ấp 2, Xã Phú Nhuận, Thành phố Bến Tre, Bến Tre",0275 090 676 78 98,,,
Bãi biển Thừa Đức Bình Đại,"Thừa Đức Bình Đại, Xã Thừa Đức, Huyện Bình Đại, Bến Tre",,,,
Búng Bình Thiên,"Xã Khánh Bình, Nhơn Hội và thị trấn Long Bình, Xã Khánh Bình, Huyện An Phú, An Giang",,,,
Khu Sinh thái Nhà Xưa,"rạch Ông Me thuộc ấp Phước Ngươn A, Xã Phước Hậu, Huyện Long Hồ, Vĩnh Long",0270 0270 3963 099,,,
Khu du lịch Vinh Sang,"Khu du lịch Vinh Sang, Xã An Bình, Huyện Long Hồ, Vĩnh Long",0270 0270 6277 277,,,
Khu du lich sinh thái Hoàng Hảo,"QL 57, Xã Thanh Đức, Huyện Long Hồ, Vĩnh Long",0270 0270 3899 699,,,
Chùa cổ Long An,"Ấp Mỹ Trung, Xã Thiện Mỹ, Huyện Trà Ôn, Vĩnh Long",,,,
Chợ nổi Trà Ôn,", Huyện Trà Ôn, Vĩnh Long",,,,
Thác đá Granite,"nằm ẩn mình trong khu rừng già, Xã Đắk Som, Huyện Đăk Glong, Đắk Nông",,,,
Núi lửa Băng Mo,"Tổ 4, Thị trấn Ea T'Ling, Huyện Cư Jút, Đắk Nông",,,,
Di tích lịch sử Ngục Đắk Mil,"thôn 9, Xã  Đắk Lao, Huyện Đắk Mil, Đắk Nông",,,,
Hồ Tây,", Thị trấn Đắk Mil, Huyện Đắk Mil, Đắk Nông",,,,
Di tích Đồi 722,"thôn Thổ Hoàng 4, Xã Đắk Sắk, Huyện Đắk Mil, Đắk Nông",,,,
Tháp Yang Prong,"thôn 5, Xã Ea Rốk, Huyện Ea Súp, Đắk Lắk",,,,
Thác Thủy Tiên,"thôn Giang Tiến, Xã Ea Puk, Huyện Krông Năng, Đắk Lắk",,,,
Thác Dray Nur,"Buôn Kuốp, Xã Dray Sáp, Huyện Krông A Na, Đắk Lắk",,,,
Đình Lạc Giao,"67 Phan Bội Châu, Phường Thống Nhất, Thành phố Buôn Ma Thuột, Đắk Lắk",,,,
Bảo tàng Đắk Lắk,"02 Y Ngông, Phường Tân Tiến, Thành phố Buôn Ma Thuột, Đắk Lắk",,,,
Làng nghề dệt chiếu Hới,"Làng Hới, Xã Tân Lễ, Huyện Hưng Hà, Thái Bình",,,,
Khu du lịch Cồn Đen,", Thái Bình",,,,
Lễ hội Đình Sàn,"Làng Sàn, Xã Phương Sơn, Huyện Lục Nam, Bắc Giang",,,,
Thác Háng Tề Chơ,"Bản Đề Chơ, Xã Làng Nhì, Huyện Trạm Tấu, Yên Bái",,,,
Thác Pú Nhu,"Bản Pú Nhu, Xã La Pán Tẩn, Huyện Mù Căng Chải, Yên Bái",,,,
Suối Giàng,", Xã Suối Giàng, Huyện Văn Chấn, Yên Bái",,,,
Thác Pa Sỹ,"làng Kon Tu Rằng, Xã Măng Cành, Huyện Kon Plông, Kon Tum",,,,
Núi Chư Hreng,"nằm ở phía nam của thành phố Kon Tum, Xã Chư Hreng, Thành phố Kon Tum, Kon Tum",,,,
Khu du lịch Đầm Vạc,", Thành phố Vĩnh Yên, Vĩnh Phúc",,,,
Hồ Đăk Ke,"Thuộc khu du lịch sinh thái Măng Đen, Huyện Kon Plông, Kon Tum",,,,
Cầu treo Kon Klor,"Đường Bắc Kạn, Phường Thắng Lợi, Thành phố Kon Tum, Kon Tum",,,,
Bảo tàng Kon Tum,"659 Nguyễn Huệ, Phường Quyết Thắng, Thành phố Kon Tum, Kon Tum",,,,
Hồ Xạ Hương,", Xã Minh Quang, Huyện Tam Đảo, Vĩnh Phúc",,,,
Làng gốm Hương Canh,"thôn Lò Cang, Thị trấn Hương Canh, Huyện Bình Xuyên, Vĩnh Phúc",,,,
Khu du lịch Văn hóa Phương Nam - Nam Phương Linh Từ,", Xã Long Hưng A, Huyện Lấp Vò, Đồng Tháp",0277 3882 727/ 091 349 27 27,,dulichvanhoaphuongnam@gmail.com,www.dulichphuongnam.com
Khu di tích Gò Tháp,"Ấp 1, Xã Tân Kiều, Huyện Tháp Mười, Đồng Tháp",0277 3960 071/ 3960 960,,bqlkdtgt@dongthap.gov.vn,www.bqlkdtgt.dongthap.gov.vn
Chùa Phước Kiển (Chùa Lá Sen),", Xã Hòa Tân, Huyện Châu Thành, Đồng Tháp",0277 038 941 41 63,,,
Khu du lịch sinh thái Gáo Giồng,"Ấp 6, Xã Gáo Giồng, Huyện Cao Lãnh, Đồng Tháp",0277 091 899 33 80/ 091 901 28 07,,dlstgaogiong@gmail.com,
Khu du lịch Cánh đồng Hoa Hồng Sa Đéc,"Đường Cao Thắng, khóm Tân Hiệp, Phường Tân Quy Đông, Thành phố Sa Đéc, Đồng Tháp",0277 093 999 90 59/ 091 455 54 41,,,
Nhà cổ Huỳnh Thủy Lê,"255A Nguyễn Huệ, Phường 2, Thành phố Sa Đéc, Đồng Tháp",0277  38510 869,,nhacohuynhthuyle@gmail.com,dulich.dongthap.gov.vn/vi/nhacohuynhthuyle
Vườn cò Hải Lựu,"thôn Dừa Lễ, Xã Hải Lựu, Huyện Sông Lô, Vĩnh Phúc",,,,
Thác Phú Cường,"QL25, Xã Dun, Huyện Chư Sê, Gia Lai",,,,
Thác Lệ Kim,", Xã Ia Tô, Huyện Ia Grai, Gia Lai",,,,
Thác Chín Tầng,", Xã Ia Bă, Huyện Ia Grai, Gia Lai",,,,
Thác Bàu Cạn,"Đội 3, Xã Bàu Cạn, Huyện Chư Prông, Gia Lai",,,,
Núi Hàm Rồng,"Nằm trên Quốc lộ 14B, Thành phố Pleiku, Gia Lai",,,,
Nhà thờ Bác Trạch,", Xã Vân Trường, Huyện Tiền Hải, Thái Bình",,,,
Làng nhà sàn Thái Hải,"Xóm Mỹ Hào, Xã Thịnh Đức, Thành phố Thái Nguyên, Thái Nguyên",,,,
Trại ngựa Bá Vân,", Xã Bình Sơn, Thành phố Sông Công, Thái Nguyên",,,,
Hồ Vai Miếu,", Xã Ký Phú, Huyện Đại Từ, Thái Nguyên",,,,
Thác Khuôn Tát,"Xóm Tỉn Keo, Xã Phú Đình, Huyện Định Hóa, Thái Nguyên",,,,
Hồ Ghềnh Chè,", Xã Bình Sơn, Thành phố Sông Công, Thái Nguyên",,,,
Chùa Hang Thái Nguyên,"Thị trấn Chùa Hang, Huyện Đồng Hỷ, Thái Nguyên",,,,
Đồi chè Tân Cương,", Xã Tân Cương, Thành phố Thái Nguyên, Thái Nguyên",,,,
Đát Đắng,", Xã Phú Xuyên, Huyện Đại Từ, Thái Nguyên",,,,
Thác Nậm Rứt (Mưa Rơi),"Bản Nậm Rứt, Xã Thần Xa, Huyện Võ Nhai, Thái Nguyên",,,,
Thác Prenn,"Đèo Prenn, Phường 3, Thành phố Đà Lạt, Lâm Đồng",,,,
Thác Gougah,"Thuộc địa bàn xóm Chung, Xã Phú Hội, Huyện Đức Trọng, Lâm Đồng",,,,
Làng Cù Lần,"dưới chân đỉnh núi Langbiang, Xã Lát, Huyện Lạc Dương, Lâm Đồng",0263 094 858 6878,,langculan@dalatcity.org,
Đường hầm điêu khắc,"Đường Hoa Hồng, Khu du lịch Hồ Tuyền Lâm, Phường 4, Thành phố Đà Lạt, Lâm Đồng",0263 094 728 9269,,duonghamdieukhacdl@gmail.com,
Chùa Linh Phước,"120 Tự Phước, Phường 11, Thành phố Đà Lạt, Lâm Đồng",,,,
Danh thắng thác Bản Ba,", Xã Trung Hà, Huyện Chiêm Hóa, Tuyên Quang",,,,
Núi Vọng Phu,", Phường An Hưng, Thành phố Thanh Hóa, Thanh Hóa",,,,
Thác Mây,"Thôn Đăng Thượng, Xã Thạch Lâm, Huyện Thạch Thành, Thanh Hóa",,,,
Thác Hiêu,"Làng Hiêu, Xã Cổ Lũng, Huyện Bá Thước, Thanh Hóa",,,,
Động Kim Sơn,", Xã Vĩnh An, Huyện Vĩnh Lộc, Thanh Hóa",,,,
Đền thờ các vua thời Lê Trung Hưng,", Xã Xuân Sinh, Huyện Thọ Xuân, Thanh Hóa",,,,
Khu du lịch Núi Dùm – Cổng Trời,", Xã Tràng Đà, Thành phố Tuyên Quang, Tuyên Quang",,,,
Đền Lê Hoàn,"Làng Trung Lập, Xã Xuân Lập, Huyện Thọ Xuân, Thanh Hóa",,,,
Chùa Tạu,"Làng Xuân Phả, Xã Xuân Trường, Huyện Thọ Xuân, Thanh Hóa",,,,
Ruộng bậc thang Hồng Thái,", Xã Hồng Thái, Huyện Na Hang, Tuyên Quang",,,,
Chùa Phúc Lâm – Dấu tích nhà Phật nơi miền sơn cước,"Thôn Nà Tông, Xã Thượng Lâm, Huyện Lâm Bình, Tuyên Quang",,,,
Khám phá động Song Long,"Hồ sinh thái Na Hang, Xã Thượng Lâm, Huyện Lâm Bình, Tuyên Quang",,,,
Thác Khuổi Nhi – điểm du lịch hấp dẫn,", Xã Thượng Lâm, Huyện Lâm Bình, Tuyên Quang",,,,
Hang Thắm Nàng Màn,"Bản Nà Pha, Xã Yên Khê, Huyện Con Cuông, Nghệ An",,,,
Di tích Mộ bà Hoàng Thị Loan,"Tọa lạc trên lưng chừng núi Động Tranh, Xã Nam Giang, Huyện Nam Đàn, Nghệ An",,,,
Cụm di tích Làng Sen,", Xã Kim Liên, Huyện Nam Đàn, Nghệ An",,,,
Cụm di tích Hoàng Trù,", Xã Kim Liên, Huyện Nam Đàn, Nghệ An",,,,
Cánh đồng hoa hướng dương,"Nông trường 19/5, Xã Nghĩa Sơn, Huyện Nghĩa Đàn, Nghệ An",,,,
Thác Khe Kèm,"Nằm trong Vườn quốc gia Pù Mát, Huyện Con Cuông, Nghệ An",,,,
Đảo chè Thanh Chương,", Xã Thanh An, Huyện Thanh Chương, Nghệ An",,,,
Danh thắng Thượng Lâm,", Xã Thượng Lâm, Huyện Lâm Bình, Tuyên Quang",,,,
Đền Pác Tạ,", Thị trấn Na Hang, Huyện Na Hang, Tuyên Quang",,,,
Nhà máy Thủy điện Na Hang,"Quốc lộ 279, Thị trấn Na Hang, Huyện Na Hang, Tuyên Quang",,,,
Suối khoáng Mỹ Lâm,"Xã Phú Lâm, Huyện Yên Sơn, Tuyên Quang",,,,
Biển Thạch Hải,", Xã Thạch Hải, Huyện Thạch Hà, Hà Tĩnh",,,,
Chùa Hương Tích,", Xã Thiên Lộc, Huyện Can Lộc, Hà Tĩnh",,,,
Nhà thờ Hải Thượng Lãn Ông,"Thôn Bảo Thượng, Xã Quang Diệm, Huyện Hương Sơn, Hà Tĩnh",,,,
Quần thể khu di tích Hải Thượng Lãn Ông Lê Hữu Trác,", Xã Sơn Trung, Huyện Hương Sơn, Hà Tĩnh",,,,
Thác Vũ Môn,", Xã Phú Gia, Huyện Hương Khê, Hà Tĩnh",,,,
Vườn Quốc gia Vũ Quang,", Thị trấn Vũ Quang, Huyện Vũ Quang, Hà Tĩnh",,,,
Thành cổ Tuyên Quang,"Vòng xoay Bình Thuận, tổ 8, Phường Tân Quang, Thành phố Tuyên Quang, Tuyên Quang",,,,
Bảo tàng tỉnh Tuyên Quang,"tổ 19, Phường Phan Thiết, Thành phố Tuyên Quang, Tuyên Quang",0207 0979 776 585,,,
Lán Nà Nưa,"thôn Tân Lập, Xã Tân Trào, Huyện Sơn Dương, Tuyên Quang",,,,
Nhà lưu niệm Đại tướng Võ Nguyên Giáp,"Thôn An Xá, Xã Lộc Thủy, Huyện Lệ Thủy, Quảng Bình",,,,
Làng Bích Họa Cảnh Dương,"Xã Cảnh Dương, Xã Cảnh Dương, Huyện Quảng Trạch, Quảng Bình",,,,
Hang Va - Hang Nước Nứt,"thuộc Vườn Quốc gia Phong Nha - Kẻ Bàng, Xã Tân Trạch, Huyện Bố Trạch, Quảng Bình",,,,
Đèo Ngang,"Nằm trên dãy núi Hoành Sơn, ranh giới giữa tỉnh Hà Tĩnh và tỉnh Quảng Bình, Xã Quảng Đông, Huyện Quảng Trạch, Quảng Bình",,,,
Bãi biển Nhật Lệ,"Biển Nhật Lệ, Xã Quang Phú, Thành Phố Đồng Hới, Quảng Bình",,,,
Sông Gianh,"Dòng sông có chiều dài khoảng 160km, đi qua địa phận các huyện Minh Hóa, Tuyên Hóa, Bố Trạch, Quảng Trạch và thị xã Ba Đồn., Quảng Bình",,,,
Động Phong Nha,"Thuộc xã Sơn Trạch (nay là Thị Trấn Phong Nha), Thị trấn Phong Nha, Huyện Bố Trạch, Quảng Bình",,,,
Bãi Đá Nhảy,"dưới chân đèo Đá Nhảy, Xã Thanh Trạch, Huyện Bố Trạch, Quảng Bình",,,,
Tượng đường kéo pháo,", Xã Nà Nhạn, Thành phố Điện Biên Phủ, Điện Biên",,,,
Thị xã Mường Lay,", Thị Xã Mường Lay, Điện Biên",,,,
Tháp Chiềng Sơ,"Bản Nà Muông, Xã Chiềng Sơ, Huyện Điện Biên Đông, Điện Biên",,,,
Tây Bắc Bách Hoa Viên,", Xã Noọng Hẹt, Huyện Điện Biên, Điện Biên",,,,
Nghĩa trang liệt sỹ A1,", Phường Mường Thanh, Thành phố Điện Biên Phủ, Điện Biên",,,,
Hồ Pá Khoang,", Xã Mường Phăng, Thành phố Điện Biên Phủ, Điện Biên",,,,
Hang Thẩm Váng,"Bản Co Hóm, Xã Búng Lao, Huyện Mường Ảng, Điện Biên",,,,
Động Pê Răng Ky,"Bản Pê Răng Ky , Xã Huổi Só, Huyện Tủa Chùa, Điện Biên",,,,
Đèo Pha Đin,", Xã Tỏa Tình, Huyện Tuần Giáo, Điện Biên",,,,
